team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Abilene Christian,Duquesne,75,94,2013-11-09,0,False,True,97.4,122.1,77.4,.508,.397,.480,42.9,40.9,3.9,2.6,.405,11.5,23.1,.381,.578,11.9,67.7,.466
Abilene Christian,St Bonaventure,47,75,2013-11-11,0,False,True,77.0,123.0,60.8,.650,.400,.449,36.5,50.0,3.3,2.4,.400,23.7,29.0,.375,.464,11.4,43.8,.411
Abilene Christian,Maryland,44,67,2013-11-13,0,False,True,65.7,100.0,66.5,.000,.389,.407,32.1,52.9,9.0,0.0,.407,22.9,10.3,.000,.528,21.9,55.6,.208
Abilene Christian,Iowa,41,103,2013-11-17,0,False,True,57.7,145.1,70.6,.222,.426,.343,43.5,42.9,4.2,0.0,.287,22.3,18.9,.185,.697,6.6,80.0,.295
Abilene Christian,TCU,64,71,2013-11-19,0,False,True,100.0,110.9,64.2,.500,.400,.517,54.5,68.4,6.3,5.7,.470,17.6,31.3,.340,.490,8.5,76.5,.500
Abilene Christian,Xavier,65,93,2013-11-25,0,False,True,97.0,138.8,66.9,.264,.453,.545,29.7,47.8,4.5,6.8,.519,15.7,9.4,.189,.632,9.9,50.0,.368
Abilene Christian,Towson,47,74,2013-11-30,0,False,True,75.8,119.4,62.4,.200,.345,.390,38.3,44.4,11.3,10.7,.355,10.5,19.4,.145,.644,20.9,75.0,.356
Abilene Christian,New Orleans,81,87,2014-01-09,0,False,True,102.5,110.1,78.6,.397,.365,.541,45.7,71.4,8.9,2.9,.500,12.9,18.4,.286,.539,15.5,78.1,.627
Abilene Christian,Southeastern Louisiana,77,85,2014-01-11,2,False,True,92.8,102.4,66.8,.507,.275,.450,53.6,34.8,8.4,0.0,.384,7.7,23.9,.348,.500,13.6,89.5,.308
Abilene Christian,Oral Roberts,59,82,2014-01-16,0,False,False,92.2,128.1,64.5,.383,.213,.531,40.0,26.3,4.7,7.5,.457,20.3,24.0,.340,.593,14.6,56.0,.333
Abilene Christian,Central Arkansas,73,72,2014-01-18,0,False,False,101.4,100.0,72.0,.453,.264,.567,47.4,44.0,16.7,2.2,.519,19.1,27.6,.340,.571,19.8,67.9,.143
Abilene Christian,Lamar,57,65,2014-01-23,0,False,False,81.4,92.9,70.2,.535,.326,.529,53.8,33.3,12.9,4.3,.477,29.3,25.9,.372,.490,22.8,84.0,.375
Abilene Christian,Sam Houston State,51,70,2014-01-25,0,False,False,83.6,114.8,60.7,.553,.342,.532,41.3,43.8,9.8,3.2,.474,27.6,22.7,.395,.553,15.8,58.3,.383
Abilene Christian,Stephen F. Austin,48,64,2014-01-30,0,False,True,69.6,92.8,68.8,.523,.205,.437,40.7,35.7,8.7,14.3,.352,28.0,23.1,.386,.450,19.5,54.5,.167
Abilene Christian,Northwestern State,66,84,2014-02-01,0,False,True,94.3,120.0,69.8,.302,.434,.545,43.9,55.0,11.4,0.0,.491,25.0,30.0,.264,.595,16.6,59.3,.259
Abilene Christian,Houston Baptist,87,81,2014-02-06,0,False,False,122.5,114.1,70.7,.864,.205,.701,53.2,44.4,11.3,8.1,.670,18.7,25.0,.636,.650,18.3,74.1,.320
Abilene Christian,Texas A&M-CC,69,71,2014-02-08,0,False,False,107.8,110.9,63.9,.579,.526,.712,35.3,66.7,7.8,0.0,.684,25.1,5.9,.447,.605,23.0,64.7,.442
Abilene Christian,Incarnate Word,68,80,2014-02-13,0,False,True,104.6,123.1,65.2,.447,.319,.597,48.9,40.9,9.2,0.0,.553,18.8,16.0,.340,.693,16.8,90.0,.432
Abilene Christian,Nicholls,60,79,2014-02-27,0,False,True,98.4,129.5,61.4,.641,.436,.590,49.0,47.1,6.6,3.6,.526,19.4,8.7,.487,.620,7.6,82.1,.340
Abilene Christian,McNeese,91,95,2014-03-01,1,False,True,115.2,120.3,70.0,.426,.407,.701,36.8,56.7,5.1,5.0,.657,21.0,9.1,.370,.532,14.1,54.3,.444
Abilene Christian,Incarnate Word,56,59,2014-03-08,0,False,False,81.2,85.5,68.7,.212,.365,.489,48.1,70.0,11.6,4.7,.442,26.0,30.8,.192,.473,23.1,64.3,.127
Air Force,Army,79,68,2013-11-08,0,True,False,109.7,94.4,72.3,.531,.306,.644,51.5,42.3,11.1,16.7,.633,22.0,29.6,.347,.426,15.0,66.7,.147
Air Force,VMI,63,71,2013-11-09,0,False,True,86.3,97.3,72.7,.358,.415,.508,44.9,39.1,11.0,0.0,.481,21.7,18.8,.226,.451,13.2,67.6,.262
Air Force,Jackson State,82,84,2013-11-14,0,False,False,113.9,116.7,72.4,.456,.456,.591,40.4,55.6,5.6,2.8,.579,13.8,20.6,.281,.585,15.6,69.6,.617
Air Force,Arkansas-Pine Bluff,67,64,2013-11-17,0,False,False,104.7,100.0,63.8,.578,.467,.584,49.1,84.2,7.8,18.8,.522,19.9,29.6,.444,.509,19.3,67.9,.189
Air Force,Richmond,60,83,2013-11-27,0,False,False,92.3,127.7,65.2,.605,.302,.542,43.6,45.0,4.6,11.1,.512,21.6,19.2,.372,.630,10.9,65.5,.278
Air Force,Colorado,57,81,2013-11-30,0,False,False,85.1,120.9,66.7,.413,.478,.518,32.8,63.2,6.0,11.8,.478,22.7,12.9,.283,.543,13.8,53.3,.310
Air Force,South Dakota,94,86,2013-12-05,0,False,False,136.2,124.6,69.4,.813,.479,.707,53.1,76.9,5.8,8.3,.656,9.7,20.0,.646,.650,15.2,87.5,.420
Air Force,UC Riverside,62,52,2013-12-14,0,False,False,83.8,70.3,74.4,.403,.435,.420,57.0,66.7,16.2,12.5,.339,17.0,31.1,.323,.424,26.3,91.2,.283
Air Force,UC Davis,74,80,2013-12-21,0,False,True,107.2,115.9,68.6,.129,.371,.562,53.4,79.3,4.3,9.4,.540,18.6,37.9,.113,.557,15.9,69.0,.396
Air Force,Utah State,73,72,2014-01-01,0,False,False,112.3,110.8,65.3,.511,.340,.625,52.8,58.3,6.2,10.3,.574,19.6,28.0,.404,.571,15.3,75.0,.143
Air Force,UNLV,75,68,2014-01-04,0,False,True,113.6,103.0,66.5,.365,.346,.615,49.1,51.9,6.1,3.1,.596,14.2,20.0,.250,.509,14.8,73.3,.264
Air Force,Fresno State,65,71,2014-01-08,0,False,True,100.0,109.2,65.3,.449,.327,.547,55.2,42.9,9.2,3.6,.490,18.1,27.6,.347,.500,12.8,82.8,.511
Air Force,San Diego State,72,79,2014-01-12,0,False,False,104.3,114.5,68.7,.241,.370,.598,42.6,35.7,5.8,6.4,.583,19.0,19.2,.167,.500,8.6,60.0,.295
