team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Abilene Christian,Portland,57,87,2015-11-22,0,False,True,72.2,110.1,78.6,.615,.365,.424,47.0,60.0,8.9,2.4,.337,23.2,27.0,.423,.602,17.2,72.4,.156
Abilene Christian,Colorado State,100,108,2015-11-24,2,False,True,114.9,124.1,69.2,.343,.429,.614,44.3,69.7,5.7,6.1,.571,11.0,17.6,.286,.555,10.3,69.4,.370
Abilene Christian,Florida A&M,72,62,2015-11-27,0,True,False,97.3,83.8,74.2,.490,.294,.573,58.1,34.8,12.2,11.4,.520,21.5,32.1,.373,.431,19.1,79.4,.207
Abilene Christian,Oakland,57,85,2015-11-28,0,True,False,82.6,123.2,68.6,.297,.328,.390,44.0,40.0,10.1,8.5,.336,11.1,32.6,.219,.578,12.3,59.4,.172
Abilene Christian,New Hampshire,75,86,2015-12-03,0,False,False,102.7,117.8,72.9,.480,.300,.611,48.3,50.0,4.1,9.3,.560,16.5,14.8,.380,.583,15.6,75.8,.267
Abilene Christian,Nebraska,63,73,2015-12-05,0,False,True,90.0,104.3,70.1,.362,.319,.572,36.0,22.7,11.4,12.1,.521,26.9,8.7,.298,.469,15.6,59.3,.551
Abilene Christian,UC Riverside,56,60,2015-12-18,0,False,False,91.8,98.4,61.4,.255,.345,.454,52.5,31.8,4.9,3.1,.436,12.8,28.1,.145,.552,18.0,79.3,.146
Abilene Christian,TCU,69,80,2015-12-20,0,False,True,95.8,111.1,71.9,.491,.358,.528,47.5,45.8,8.3,8.7,.491,16.8,22.6,.321,.517,12.6,73.3,.345
Abilene Christian,Drake,70,87,2015-12-22,0,False,True,102.9,127.9,68.0,.293,.276,.530,42.3,53.8,8.8,6.7,.509,10.9,18.8,.190,.729,16.9,80.0,.354
Abilene Christian,Central Arkansas,62,61,2016-01-02,0,False,True,84.9,83.6,72.7,.345,.164,.484,51.6,42.9,9.6,6.7,.418,20.2,27.6,.291,.446,20.6,71.4,.196
Abilene Christian,Nicholls,62,63,2016-01-09,0,False,True,87.3,88.7,71.0,.298,.281,.476,49.1,40.9,18.3,4.8,.430,18.9,25.8,.228,.526,30.2,81.8,.564
Abilene Christian,Northwestern State,87,72,2016-01-12,0,False,False,113.0,93.5,77.5,.556,.302,.546,62.9,61.5,11.7,5.1,.460,13.3,41.9,.460,.455,16.2,83.9,.375
