team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Abilene Christian,Tulsa,39,65,2014-11-19,0,False,True,62.9,104.8,62.1,.127,.400,.334,38.2,80.0,14.5,5.7,.318,18.2,23.7,.073,.520,18.7,56.7,.286
Abilene Christian,Duquesne,81,102,2014-11-22,0,False,False,102.5,129.1,79.2,.516,.226,.525,40.9,44.0,7.6,2.9,.452,12.5,23.1,.403,.702,17.0,66.7,.386
Abilene Christian,UC Riverside,56,76,2014-11-29,0,False,True,86.2,116.9,65.1,.245,.302,.473,30.2,52.6,15.4,7.1,.425,16.9,18.2,.208,.552,18.3,43.3,.207
Abilene Christian,Sacramento State,72,61,2014-12-04,0,False,False,107.5,91.0,66.6,.533,.378,.638,44.8,73.9,3.0,0.0,.589,23.2,25.0,.422,.368,17.1,55.3,.415
Abilene Christian,Houston,59,71,2014-12-06,0,False,True,89.4,107.6,66.4,.119,.463,.417,45.6,63.6,6.1,7.1,.388,12.4,28.2,.104,.540,15.3,69.0,.340
Abilene Christian,Loyola (CHI),44,83,2014-12-17,0,False,True,68.8,129.7,63.5,.218,.400,.362,26.8,50.0,15.6,0.0,.309,14.1,14.6,.182,.750,20.5,60.0,.476
Abilene Christian,Boise State,33,77,2014-12-20,0,False,True,57.9,135.1,57.4,.109,.345,.285,34.4,36.4,7.0,0.0,.255,13.5,25.6,.091,.692,18.0,55.6,.096
Abilene Christian,South Carolina State,65,59,2014-12-22,0,True,False,91.5,83.1,71.0,.333,.444,.520,40.7,60.9,9.9,0.0,.500,18.3,17.6,.204,.444,28.1,72.0,.422
Abilene Christian,Arkansas-Pine Bluff,69,61,2014-12-23,0,True,False,104.5,92.4,65.6,.356,.444,.656,48.2,62.5,10.6,5.9,.644,25.5,21.7,.244,.425,18.3,66.7,.302
Abilene Christian,Grand Canyon,81,83,2014-12-28,0,False,True,106.6,109.2,75.6,.271,.373,.608,44.7,35.5,5.3,5.6,.602,14.2,11.5,.169,.660,20.1,85.7,.447
Abilene Christian,Central Arkansas,87,70,2015-01-04,0,False,False,122.5,98.6,71.5,.407,.333,.675,53.7,55.2,9.9,0.0,.639,17.8,25.9,.333,.529,20.9,81.5,.314
