home,away,tipoff,tipstring,true_home_game,conf,key,spread_home,spread,line_movement,home_public_percentage,home_ats,away_ats,total,over_pct,home_adj_o,home_adj_d,away_adj_o,away_adj_d,home_temp,away_temp,home_o,away_o,home_em,away_em,tempo,em_diff,pmargin,home_portg,away_portg,ptotal,DT_home_winner,DT_home_big,DT_away_big,DT_spread_diff,DT_home_fav,DT_away_fav,DT_home_movement,DT_away_movement,DT_home_public,DT_away_public,DT_home_ats,DT_away_ats,DT_home_FT,DT_away_FT,DT_home_tPAr,DT_away_tPAr,DT_home_reb,DT_away_reb,DT_home_TOVP,DT_away_TOVP,DT_home_over,DT_away_over,DT_pover,DT_total_diff,DT_over_pct
Temple,Villanova,19:00:00,6:00 PM CT,1,0,"('Temple', 'Villanova')","(9.0, -110)",9.0,0.5,41.0,0.5714285714285714,0.6666666666666666,148.0,50.0,121.17762134261504,87.46273321559316,140.6547399276841,68.49373450002136,71.0296322152052,71.70848796401809,3,-2,33.71488812702188,72.16100542766273,71.36906008961165,-0.2644611730064085,-8,97.8356779213182,112.05873657163863,150,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0.5,0.625,1,0,1
Bradley,Little Rock,20:00:00,7:00 PM CT,1,0,"('Bradley', 'Little Rock')","(-10.0, -110)",-10.0,2.0,53.0,0.7142857142857143,0.3333333333333333,123.5,17.0,83.13316229475556,72.41547615136838,62.89258790984073,96.0862708369099,67.23237254602354,66.5825886326301,3,-2,10.717686143387184,-33.193682927069176,66.90748058932682,0.5591136907045636,15,92.60971656583274,65.65403203060455,106,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0.0,0.3333333333333333,0,1,0
Wisconsin,Western Kentucky,20:00:00,7:00 PM CT,1,0,"('Wisconsin', 'Western Kentucky')","(-5.5, -110)",-5.5,2.5,31.0,0.3333333333333333,0.7142857142857143,131.5,34.0,106.59219381200761,89.70550974817309,122.7792816099381,88.7946459064985,59.55463896247811,71.59203268781796,3,-2,16.886684063834522,33.984635703439594,65.57333582514804,-0.050979516396050716,-2,100.69341985925305,104.24239567905559,134,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.4444444444444444,0.5,1,0,0
LSU,Houston,21:00:00,8:00 PM CT,1,0,"('LSU', 'Houston')","(2.5, -110)",2.5,0.5,27.0,0.6,0.6666666666666666,158.5,61.0,128.1842329429743,120.97910563811438,119.46408443178278,84.59576685335487,71.82849251145471,74.10952377249896,3,-2,7.205127304859914,34.868317578427906,72.96900814197684,-0.15663190273567992,-5,109.38999989816458,118.22159503494858,166,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0.6666666666666666,0.5,1,1,1
UNC Greensboro,UNC Wilmington,19:00:00,6:00 PM CT,1,0,"('UNC Greensboro', 'UNC Wilmington')","(-8.5, -110)",-8.5,1.0,67.0,1.0,0.0,155.5,71.0,99.63541849854244,84.60306993018224,103.10339562864654,122.37542896537778,67.59307309031296,84.95242422560169,3,-2,15.032348568360192,-19.27203333673124,76.27274865795732,0.4630438190509143,14,114.00542373196011,91.85323277941438,157,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0.25,1.0,1,0,1
Belmont,Milwaukee,19:30:00,6:30 PM CT,1,0,"('Belmont', 'Milwaukee')","(-10.0, -110)",-10.0,0.5,72.0,0.5714285714285714,0.5,138.5,46.0,110.13350433401655,106.41780933728752,91.16748409888434,97.08447878347987,70.04812484994184,64.9772013633547,3,-2,3.7156949967290274,-5.916994684595522,67.51266310664826,0.2163268968132455,6,106.60899155874822,96.79264671808593,137,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.625,0.375,0,0,0
Omaha,Arkansas State,20:00:00,7:00 PM CT,1,0,"('Omaha', 'Arkansas State')","(-4.0, -110)",-4.0,-2.0,85.0,0.5454545454545454,0.0,159.5,50.0,92.90646734154421,116.1028921978147,91.40265206882577,120.44451725951694,79.64587123647938,78.43461968858344,3,-2,-23.196424856270482,-29.04186519069117,79.0402454625314,0.17845440334420687,6,109.67549230053058,101.75277213332024,167,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.4,0.5,1,1,1
Northern Colorado,Denver,21:00:00,8:00 PM CT,1,0,"('Northern Colorado', 'Denver')","(-5.5, -110)",-5.5,-1.5,66.0,0.6666666666666666,0.25,139.5,15.0,80.37964727518631,81.58496108475263,90.61811154080686,107.19322552057638,75.24351009968807,69.77904254474632,3,-2,-1.20531380956632,-16.57511397976951,72.51127632221718,0.2736980017020319,8,96.78643639788135,84.10153631277976,131,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0.2,0.42857142857142855,0,1,0
Oregon,Portland State,22:00:00,9:00 PM CT,1,0,"('Oregon', 'Portland State')","(-14.0, -110)",-14.0,-0.5,18.0,0.4444444444444444,1.0,168.0,94.0,115.60287636997062,90.78501246357342,108.95427844255376,101.40024764185148,76.13420717925898,87.63571815908801,3,-2,24.817863906397193,7.554030800702279,81.88496266917349,0.29263833105694914,10,111.50156200591104,97.86964545306358,171,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0.7142857142857143,0.7142857142857143,1,0,1
Boise State,Grand Canyon,21:00:00,8:00 PM CT,1,0,"('Boise State', 'Grand Canyon')","(-10.0, -110)",-10.0,2.0,80.0,0.6666666666666666,0.0,134.5,30.0,100.69602575404559,68.41614847785068,93.68771807185425,83.94452709164923,70.65395068767249,71.02777599311307,3,-2,32.27987727619491,9.743190980205014,70.84086334039279,0.34536686295989893,10,95.32027642284741,79.05193327485247,124,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0.2222222222222222,0.0,0,1,0
