Game_ID,Away_Abbrv,Home_Abbrv,Away_Score,Home_Score,Game_Away,Game_Home,Game_Year,Game_Date,Game_Tipoff,Game_Location,Neutral_Site,Conference_Competition,Attendance
313110012,VALP,ARIZ,64,73,Valparaiso,Arizona,2011,11/07,20:00:00,McKale Center|Tucson|Arizona,False,False,12871
313112599,WM,SJU,59,74,William & Mary,St John's,2011,11/07,18:00:00,Carnesecca Arena|Queens|New York,False,False,4142
313110344,EKY,MSST,66,76,Eastern Kentucky,Mississippi State,2011,11/07,19:00:00,Humphrey Coliseum|Starkville|Mississippi,False,False,6516
313130012,DUQ,ARIZ,59,67,Duquesne,Arizona,2011,11/09,20:00:00,McKale Center|Tucson|Arizona,False,False,13289
313130245,LIB,TAMU,59,81,Liberty,Texas A&M,2011,11/09,19:00:00,Reed Arena|College Station|Texas,False,False,6118
313130344,AKR,MSST,68,58,Akron,Mississippi State,2011,11/09,18:00:00,Humphrey Coliseum|Starkville|Mississippi,False,False,6897
313132599,LEH,SJU,73,78,Lehigh,St John's,2011,11/09,18:00:00,Carnesecca Arena|Queens|New York,False,False,4409
313150127,UNC,MSU,67,55,North Carolina,Michigan State,2011,11/11,18:00:00,USS Carl Vinson|San Diego|California,True,False,0
313150096,MRST,UK,58,108,Marist,Kentucky,2011,11/11,18:00:00,Rupp Arena|Lexington|Kentucky,False,False,22079
313150194,WRST,OSU,42,73,Wright State,Ohio State,2011,11/11,20:00:00,Value City Arena|Columbus|Ohio,False,False,15645
313150041,CLMB,CONN,57,70,Columbia,Connecticut,2011,11/11,18:00:00,Gampel Pavilion|Storrs|Connecticut,False,False,10167
313150150,BEL,DUKE,76,77,Belmont,Duke,2011,11/11,20:00:00,Cameron Indoor Stadium|Durham|North Carolina,False,False,9314
313150238,ORE,VAN,64,78,Oregon,Vanderbilt,2011,11/11,21:00:00,Memorial Gymnasium (Vandy)|Nashville|Tennessee,False,False,14316
313150057,JKST,FLA,59,99,Jackson State,Florida,2011,11/11,18:00:00,Exactech Arena|Gainesville|Florida,False,False,10059
313150097,UTM,LOU,48,83,UT Martin,Louisville,2011,11/11,18:00:00,KFC Yum! Center|Louisville|Kentucky,False,False,20485
313150221,ALBY,PITT,56,89,Albany,Pittsburgh,2011,11/11,18:00:00,Petersen Events Center|Pittsburgh|Pennsylvania,False,False,10125
313150239,TXSO,BAY,57,77,Texas Southern,Baylor,2011,11/11,21:00:00,Ferrell Center|Waco|Texas,False,False,7359
313152305,TOWS,KU,54,100,Towson,Kansas,2011,11/11,19:00:00,Allen Fieldhouse|Lawrence|Kansas,False,False,16300
313152752,MORG,XAV,63,74,Morgan State,Xavier,2011,11/11,18:00:00,Cintas Center|Cincinnati|Ohio,False,False,10250
313150026,LMU,UCLA,69,58,Loyola Marymount,UCLA,2011,11/11,21:30:00,Los Angeles Memorial Sports Arena|Los Angeles|California,False,False,5382
313150333,UNF,ALA,44,64,North Florida,Alabama,2011,11/11,19:00:00,Coleman Coliseum|Tuscaloosa|Alabama,False,False,11754
313150269,MSM,MARQ,37,91,Mount St Mary's,Marquette,2011,11/11,20:00:00,BMO Harris Bradley Center|Milwaukee|Wisconsin,False,False,13834
313152250,EWU,GONZ,69,77,Eastern Washington,Gonzaga,2011,11/11,22:05:00,McCarthey Athletic Center|Spokane|Washington,False,False,0
313150025,UCI,CAL,56,77,UC Irvine,California,2011,11/11,21:30:00,Haas Pavilion|Berkeley|California,False,False,5305
