Game_ID,Away_Abbrv,Home_Abbrv,Away_Score,Home_Score,Game_Away,Game_Home,Game_Year,Game_Date,Game_Tipoff,Game_Location,Neutral_Site,Conference_Competition,Attendance
401002361,CP,IDHO,66,75,Cal Poly,Idaho,2017,11/25,21:30:00,Alaska Airlines Arena|Seattle|Washington,True,False,0
400991245,SUU,UNLV,60,65,Southern Utah,UNLV,2017,11/25,22:00:00,Thomas & Mack Center|Las Vegas|Nevada,False,False,0
400986701,UNF,MIA,65,38,North Florida,Miami,2017,11/25,16:00:00,Watsco Center|Coral Gables|Florida,False,False,7189
400986392,MINN,ALA,89,84,Minnesota,Alabama,2017,11/25,17:00:00,Barclays Center|Brooklyn|New York,True,False,3469
401002194,JKST,OMA,75,73,Jackson State,Omaha,2017,11/25,11:00:00,The Arena at Northwest FL St|Niceville|Florida,True,False,125
400987968,UCA,TLSA,72,92,Central Arkansas,Tulsa,2017,11/25,12:00:00,Reynolds Center|Tulsa|Oklahoma,False,False,3259
400986093,MORE,VT,63,96,Morehead State,Virginia Tech,2017,11/25,13:00:00,Cassell Coliseum|Blacksburg|Virginia,False,False,5390
400989620,BALL,INST,93,85,Ball State,Indiana State,2017,11/25,13:00:00,Hulman Center|Terre Haute|Indiana,False,False,3274
400990732,LIU,BRWN,50,94,LIU Brooklyn,Brown,2017,11/25,13:00:00,Pizzitola Sports Center|Providence|Rhode Island,False,False,0
400991546,UNH,USU,63,77,New Hampshire,Utah State,2017,11/25,13:00:00,Nashville Municipal Auditorium|Nashville|Tennessee,True,False,400
400989990,ALBY,HC,78,62,Albany,Holy Cross,2017,11/25,13:05:00,Hart Center|Worcester|Massachusetts,False,False,1735
401002195,UMES,TNTC,60,90,Maryland-Eastern Shore,Tennessee Tech,2017,11/25,13:30:00,The Arena at Northwest FL St|Niceville|Florida,True,False,125
400986094,LEH,PITT,68,80,Lehigh,Pittsburgh,2017,11/25,14:00:00,Petersen Events Center|Pittsburgh|Pennsylvania,False,False,3317
400988928,SELA,MVSU,73,59,Southeastern Louisiana,Mississippi Valley State,2017,11/25,14:00:00,Pete Hanna Center|Birmingham|Alabama,True,False,137
400989623,GASO,BRAD,57,62,Georgia Southern,Bradley,2017,11/25,14:00:00,Carver Arena|Peoria|Illinois,False,False,4670
400990304,BGSU,CAM,78,72,Bowling Green,Campbell,2017,11/25,14:00:00,Pope Convocation Center|Buies Creek|North Carolina,False,False,1208
400991077,HOF,SIE,76,85,Hofstra,Siena,2017,11/25,14:00:00,Times Union Center|Albany|New York,False,False,5512
400991590,UVM,YALE,79,73,Vermont,Yale,2017,11/25,14:00:00,John J. Lee Amphitheater|New Haven|Connecticut,False,False,1644
400991612,CLMB,COLG,71,77,Columbia,Colgate,2017,11/25,14:00:00,Cotterell Court|Hamilton|New York,False,False,418
400986851,BYU,UMASS,68,66,BYU,Massachusetts,2017,11/25,14:30:00,Barclays Center|Brooklyn|New York,True,False,0
400991076,WEBB,FAIR,64,75,Gardner-Webb,Fairfield,2017,11/25,14:30:00,Nutter Center|Dayton|Ohio,True,False,0
400988683,NE,FUR,67,78,Northeastern,Furman,2017,11/25,15:00:00,Nashville Municipal Auditorium|Nashville|Tennessee,True,False,400
400989268,SAV,TTU,69,103,Savannah State,Texas Tech,2017,11/25,15:00:00,United Supermarkets Arena|Lubbock|Texas,False,False,6614
400990605,UVU,UND,83,75,Utah Valley,North Dakota,2017,11/25,15:00:00,Betty Engelstad Sioux Center|Grand Forks|North Dakota,False,False,1669
