Confidence,Pick,Spread,pmargin,diff,Opp,DT Prob,Tipoff
Bet,UT Martin,2.0,-1,1.0,v Tennessee State,0.5391487125591172,7:00 PM ET
Caution,Temple,-9.5,8,,v Tulane,0.5391487125591172,7:00 PM ET
Caution,SIU Edwardsville,7.0,-10,,@ Austin Peay,0.5389492753623188,8:00 PM ET
Caution,Eastern Illinois,10.0,-11,,@ Murray State,0.5389492753623188,8:00 PM ET
Caution,Montana State,-1.0,-5,,@ Southern Utah,0.5389492753623188,8:30 PM ET
Caution,Louisiana Tech,8.5,-9,,@ Western Kentucky,0.5389492753623188,8:00 PM ET
Bet,Valparaiso,-0.0,1,1.0,@ Indiana State,0.5383022774327122,7:00 PM ET
Caution,Belmont,-8.0,4,,@ Southeast Missouri State,0.5362776025236593,8:30 PM ET
Caution,UC Irvine,4.5,-5,,v New Mexico State,0.5296127562642369,10:00 PM ET
Caution,Saint Mary's,-17.5,14,,v Loyola Marymount,0.5257611241217799,11:00 PM ET
Caution,Seton Hall,-5.0,2,,v Creighton,0.5257611241217799,6:30 PM ET
Bet,East Carolina,14.0,-11,3.0,@ Tulsa,0.5214356929212363,5:00 PM ET
Bet,Eastern Kentucky,12.0,-12,0.0,@ Jacksonville State,0.5214356929212363,8:30 PM ET
Caution,IUPUI,14.5,-16,,@ Northern Kentucky,0.5199543899657925,7:30 PM ET
Caution,Rice,12.0,-13,,@ UT San Antonio,0.5199543899657925,8:00 PM ET
Caution,San Francisco,3.0,-7,,@ San Diego,0.5199543899657925,9:00 PM ET
Caution,Monmouth,-5.5,5,,@ Quinnipiac,0.5199543899657925,7:30 PM ET
Caution,Saint Peter's,1.5,-5,,@ Fairfield,0.5199543899657925,7:00 PM ET
Caution,Houston,-14.5,12,,@ South Florida,0.5187778485041374,7:00 PM ET
Caution,Montana,-11.0,6,,@ Northern Arizona,0.5187778485041374,8:30 PM ET
Bet,LSU,-2.5,4,1.5,@ Memphis,0.5187778485041374,9:00 PM ET
Caution,Morehead State,8.0,-10,,@ Tennessee Tech,0.5183955739972338,8:30 PM ET
Bet,Cornell,6.5,-4,2.5,@ Delaware,0.5183955739972338,2:00 PM ET
Bet,Pacific,23.0,-19,4.0,@ Gonzaga,0.5183955739972338,9:00 PM ET
Bet,Southern Mississippi,10.5,-9,1.5,@ Marshall,0.5183955739972338,7:00 PM ET
Caution,Detroit Mercy,3.5,-5,,@ Green Bay,0.5183955739972338,8:00 PM ET
Bet,Southern Illinois,8.5,-8,0.5,@ Northern Iowa,0.5183955739972338,8:00 PM ET
Caution,Oakland,-1.5,1,,@ Milwaukee,0.5183955739972338,8:00 PM ET
Caution,Providence,6.5,-7,,@ St John's,0.5183955739972338,7:00 PM ET
Caution,UIC,7.5,-10,,@ Wright State,0.5183955739972338,7:00 PM ET
Bet,Portland,19.0,-17,2.0,@ BYU,0.5183955739972338,9:00 PM ET
Caution,UTEP,-2.0,-3,,v North Texas,0.51209398756047,9:00 PM ET
Caution,Drake,2.0,-5,,v Bradley,0.51209398756047,8:00 PM ET
Caution,Pepperdine,5.0,-4,1.0,@ Santa Clara,0.5068846815834768,10:00 PM ET
