Rank,Name,EM,ORtg,DRtg
1,Kentucky,40.05698952043759,119.39,79.33
2,Duke,36.84860701206029,122.87,86.02
3,Arizona,36.70783533852817,118.16,81.45
4,Wisconsin,36.166027050681215,128.4,92.24
5,Villanova,34.939628290135005,120.29,85.35
6,Virginia,30.738733372074478,111.72,80.98
7,Utah,29.349660274676474,115.37,86.02
8,Gonzaga,28.714037772207895,118.41,89.7
9,Kansas,25.716163728520478,111.76,86.05
10,North Carolina,25.44675707147691,116.02,90.58
11,Iowa State,25.43574161652632,118.36,92.93
12,Notre Dame,25.417920124941936,121.43,96.01
13,Oklahoma,25.155968438668502,110.6,85.45
14,Baylor,24.743906733963705,114.62,89.87
15,Michigan State,24.660032888175493,114.72,90.06
16,Wichita St,24.16465528209173,111.47,87.31
17,Iowa,23.201832724859848,112.15,88.95
18,Louisville,22.840795875396395,108.5,85.66
19,Northern Iowa,22.203587345515544,114.42,92.21
20,Ohio State,21.90098815712124,113.03,91.13
21,Texas,21.607307001111288,110.15,88.54
22,West Virginia,20.455327615329374,111.68,91.23
23,Butler,20.402763754109458,106.51,86.11
24,Xavier,20.395955680128907,112.76,92.36
25,SMU,19.718719673786516,111.49,91.77
26,Georgetown,19.536159439460036,109.68,90.14
27,Providence,18.538127144610513,108.93,90.4
28,NC State,18.51668151532472,111.46,92.94
29,BYU,18.512853242715806,115.66,97.15
30,San Diego State,18.355912249703145,102.76,84.41
31,UCLA,17.918235384079523,112.34,94.42
32,Davidson,17.879399476911438,117.73,99.85
33,Vanderbilt,17.339806373300405,113.97,96.63
34,Arkansas,17.09918673396654,110.6,93.5
35,Boise State,16.767210110496293,109.33,92.57
36,Miami,16.519987574047043,109.22,92.7
37,Maryland,16.42088430525874,108.2,91.78
38,Florida,16.307302921975136,105.08,88.77
39,Georgia,16.037999272497892,105.53,89.49
40,Purdue,15.820575399106822,106.92,91.1
41,Indiana,15.656329558706659,115.94,100.28
42,Stephen F. Austin,15.502675509562671,111.95,96.45
43,Ole Miss,15.371379469083259,111.18,95.81
44,VCU,15.288383123313928,106.76,91.47
45,Oklahoma State,15.149697574923735,109.44,94.29
46,Oregon,15.135937087358457,112.89,97.75
47,LSU,14.964734524811341,105.76,90.79
48,Cincinnati,14.949344446565668,106.53,91.58
49,Stanford,14.773877729265976,110.65,95.87
50,Dayton,14.754103960266185,106.07,91.32
51,Syracuse,14.088590364003693,103.44,89.35
52,Texas A&M,14.00879231511773,105.66,91.65
53,Illinois,13.849481250477282,106.25,92.4
54,Alabama,13.842907001299373,109.81,95.97
55,Connecticut,13.698545300347106,106.89,93.2
56,Minnesota,13.244322726477435,109.86,96.62
57,TCU,13.054756095413431,106.92,93.87
58,St John's,12.931268834710686,106.61,93.68
59,Murray State,12.870830160495814,113.17,100.3
60,Georgia State,12.723549897499744,106.79,94.07
61,Colorado State,12.704074239364509,107.32,94.61
62,Buffalo,12.533007029556167,109.24,96.71
63,Temple,12.380755291314102,104.0,91.62
64,South Carolina,12.155441741014855,101.9,89.74
65,Rhode Island,12.006459009960288,100.03,88.03
66,Richmond,11.868902436451613,105.58,93.71
67,George Washington,11.846416662827387,105.33,93.48
68,Valparaiso,11.467177585898881,102.3,90.84
69,Illinois State,11.301975733898892,104.52,93.22
70,Old Dominion,10.77048390917951,101.67,90.9
71,Michigan,10.73452683917477,108.26,97.52
72,Arizona State,10.5108934867541,105.86,95.35
