Rank Team                           EM     ORTG     DRTG
1    Villanova                   37.66   122.41    84.75
2    Michigan State              33.54   115.66    82.12
3    Virginia                    31.74   109.87    78.13
4    Kansas                      31.21   117.68    86.47
5    Purdue                      29.26   115.50    86.24
6    West Virginia               27.64   113.11    85.47
7    Duke                        27.36   120.04    92.69
8    Arizona State               26.32   122.75    96.43
9    Gonzaga                     25.54   117.18    91.65
10   Xavier                      25.26   118.09    92.83
11   North Carolina              24.72   112.54    87.82
12   Texas Tech                  24.58   110.15    85.57
13   Texas A&M                   24.46   107.95    83.49
14   Cincinnati                  23.49   107.07    83.58
15   Arizona                     23.49   118.88    95.40
16   Nevada                      23.04   115.37    92.33
17   SMU                         22.61   113.04    90.43
18   Tennessee                   22.10   109.32    87.21
19   Arkansas                    21.87   111.92    90.05
20   Virginia Tech               21.83   116.32    94.49
21   Seton Hall                  21.17   112.86    91.70
22   Creighton                   20.92   113.82    92.90
23   TCU                         20.80   116.37    95.57
24   Clemson                     20.76   108.40    87.64
25   Wichita St                  20.71   115.68    94.97
26   Baylor                      20.41   111.58    91.17
27   Missouri                    20.29   118.20    97.91
28   Miami                       20.11   104.76    84.65
29   Florida State               19.67   110.82    91.15
30   UNLV                        19.45   113.18    93.73
31   Maryland                    17.87   110.03    92.16
32   Ohio State                  17.23   108.63    91.40
33   Kentucky                    17.10   111.13    94.03
34   Louisville                  17.07   106.59    89.52
35   Syracuse                    16.92   105.85    88.93
36   Fresno State                16.91   114.02    97.11
37   Florida                     16.88   111.57    94.69
38   Michigan                    16.88   105.96    89.08
39   Oklahoma                    16.86   113.33    96.47
40   Houston                     16.79   110.61    93.82
41   Rhode Island                16.69   108.73    92.05
42   Penn State                  16.63   104.58    87.95
43   Auburn                      16.58   110.23    93.65
44   Northwestern                15.99   108.83    92.85
45   St John's                   15.39   101.48    86.10
46   Notre Dame                  15.04   113.71    98.67
47   Boise State                 14.83   100.08    85.25
48   Texas                       14.83   100.08    85.26
49   Minnesota                   14.62   109.77    95.15
50   San Diego State             14.37   106.03    91.66
51   Western Kentucky            14.15   111.12    96.97
52   Oregon                      14.08   107.09    93.01
53   Kansas State                14.04   108.49    94.45
54   Saint Mary's                13.72   119.89   106.17
55   Northern Iowa               13.51   101.69    88.18
56   Alabama                     13.34   106.85    93.51
57   St Bonaventure              12.99   104.96    91.97
58   USC                         12.93   111.46    98.54
59   Middle Tennessee            12.82   108.98    96.15
60   Temple                      12.75   108.92    96.16
61   Old Dominion                12.69   101.45    88.76
62   Rutgers                     12.58    97.72    85.14
63   NC State                    12.20   111.01    98.81
64   Oklahoma State              11.71   100.32    88.61
65   Utah                        11.70   105.30    93.60
66   Boston College              11.54   108.15    96.62
67   New Mexico State            11.29   104.46    93.17
68   BYU                         11.24   108.34    97.10
69   South Dakota                10.58   106.69    96.11
70   Wake Forest                 10.56   111.60   101.03
71   San Diego                   10.54    98.22    87.69
72   Nebraska                    10.51   108.23    97.72
73   UT-Arlington                10.40   101.98    91.58
74   Bradley                     10.39    98.26    87.86
75   South Carolina              10.33   102.22    91.90
76   Mississippi State           10.12   100.24    90.11
77   Davidson                    10.05   110.62   100.57
78   Idaho                        9.89   102.20    92.31
79   Butler                       9.78   104.55    94.77
80   Providence                   9.36   104.57    95.21
81   Marquette                    9.36   110.95   101.59
82   UNC Greensboro               9.22   100.79    91.56
83   Towson                       9.12   103.08    93.96
84   Northern Kentucky            9.08   107.73    98.65
85   UAB                          9.08   111.51   102.43
86   Washington                   8.94   109.09   100.15
87   Wisconsin                    8.93   104.53    95.60
88   Illinois                     8.74   103.21    94.46
89   Murray State                 8.73   111.90   103.17
90   UCLA                         8.61   104.41    95.80
91   Missouri State               8.51   104.84    96.33
92   UL Lafayette                 8.32   109.37   101.05
93   Vermont                      7.97   110.88   102.91
94   Grand Canyon                 7.90    99.50    91.60
95   Georgia Southern             7.73   103.68    95.95
96   South Dakota State           7.57   108.57   100.99
97   Georgia                      7.25   103.94    96.69
98   Buffalo                      6.75   104.66    97.91
99   UC Santa Barbara             6.65   109.32   102.66
100  Iowa State                   6.59   106.13    99.54
101  Iowa                         6.52   104.15    97.63
102  La Salle                     6.39   104.17    97.78
103  Vanderbilt                   6.34   102.03    95.69
104  Colorado                     6.29   103.29    97.00
105  UCF                          6.10    92.13    86.03
106  Valparaiso                   5.96    97.13    91.17
107  Mercer                       5.90   114.17   108.28
108  Lipscomb                     5.57    92.65    87.08
109  East Tennessee St.           5.51   103.36    97.86
110  LSU                          5.49   114.17   108.67
111  UC Davis                     5.42   102.70    97.28
112  Ball State                   5.25   104.82    99.57
113  Louisiana Tech               5.24   103.67    98.43
114  Iona                         5.23   109.12   103.89
115  VCU                          4.99   103.88    98.89
116  Loyola (CHI)                 4.85   102.98    98.13
117  DePaul                       4.80   101.03    96.23
118  Utah State                   4.64   102.15    97.51
119  Georgia State                4.47    99.28    94.81
120  Ole Miss                     4.45   109.18   104.72
121  Georgetown                   4.41   103.75    99.34
122  Belmont                      4.31   106.89   102.58
123  Northeastern                 4.21   104.49   100.28
124  Oakland                      4.15   104.16   100.00
125  Portland State               3.99   104.22   100.24
126  Tulane                       3.92   101.05    97.13
127  Rider                        3.89   108.52   104.63
128  Jacksonville State           3.71   100.88    97.18
129  Stephen F. Austin            3.67   101.18    97.51
130  Central Michigan             3.34   102.39    99.05
131  Albany                       3.15   105.95   102.80
132  Penn                         3.08    97.60    94.52
133  Southern Illinois            2.88   101.54    98.67
134  Northern Colorado            2.88    96.09    93.21
135  North Dakota State           2.84   102.29    99.44
136  Massachusetts                2.59    98.53    95.94
137  Indiana                      2.43   106.49   104.06
138  Washington State             2.15   103.37   101.22
139  Florida Gulf Coast           1.97   106.12   104.15
140  Ohio                         1.93    98.96    97.03
141  North Texas                  1.39   103.87   102.48
142  Tulsa                        1.31   102.20   100.89
143  UT San Antonio               1.22   103.45   102.23
144  George Washington            1.18   102.72   101.54
145  Bucknell                     1.10   108.36   107.26
146  Utah Valley                  1.05   103.14   102.09
147  Dayton                       0.99   102.95   101.97
148  Marshall                     0.89   105.12   104.23
149  Wyoming                      0.87    96.21    95.33
150  Wagner                       0.86    98.09    97.23
151  Wright State                 0.72    90.13    89.40
152  Oregon State                 0.47   102.62   102.15
153  Connecticut                  0.39    98.51    98.13
154  Army                         0.37    99.29    98.91
155  Stanford                     0.23    97.85    97.62
156  Liberty                     -0.01    97.89    97.91
157  Charleston                  -0.04    94.88    94.92
158  Hawai'i                     -0.09    96.15    96.25
159  Pacific                     -0.37   102.88   103.25
160  Hofstra                     -0.53   103.12   103.65
161  Canisius                    -0.64   101.26   101.89
162  Princeton                   -0.71   102.08   102.79
163  Binghamton                  -0.74   102.43   103.18
164  Robert Morris               -0.81    94.22    95.02
165  Lamar                       -0.87    96.15    97.01
166  Evansville                  -0.93    95.12    96.06
167  Yale                        -0.97   101.26   102.24
168  Coastal Carolina            -1.01   103.63   104.64
