Game_ID,Game_ID,Away_Abbrv,Home_Abbrv,Away_Score,Home_Score,Game_Away,Game_Home,Season,Game_Date,Game_Tipoff,Game_Location,Neutral_Site
0,400988040,WICH,CONN,33,29,Wichita St,Connecticut,2018,2017-12-30,12:00:00,XL Center|Hartford|Connecticut,False
1,400986174,WAKE,UNC,43,51,Wake Forest,North Carolina,2018,2017-12-30,12:00:00,Dean E. Smith Center|Chapel Hill|North Carolina,False
2,400986475,BRWN,NW,55,48,Brown,Northwestern,2018,2017-12-30,12:00:00,Allstate Arena|Rosemont|Illinois,False
3,400986476,M-OH,OSU,32,47,Miami (OH),Ohio State,2018,2017-12-30,12:00:00,Value City Arena|Columbus|Ohio,False
4,400989865,FOR,VCU,28,48,Fordham,VCU,2018,2017-12-30,12:30:00,Stuart C. Siegel Center|Richmond|Virginia,False
5,400987279,TENN,ARK,22,16,Tennessee,Arkansas,2018,2017-12-30,13:00:00,Bud Walton Arena|Fayetteville|Arkansas,False
6,400986477,COPP,PSU,10,21,Coppin State,Penn State,2018,2017-12-30,13:00:00,Bryce Jordan Center|University Park|Pennsylvania,False
7,400988738,FUR,VMI,6,15,Furman,VMI,2018,2017-12-30,13:00:00,Cameron Hall|Lexington|Virginia,False
8,400988739,WCU,CIT,7,13,Western Carolina,The Citadel,2018,2017-12-30,13:00:00,McAlister Field House|Charleston|South Carolina,False
9,400992125,OAK,GB,12,17,Oakland,Green Bay,2018,2017-12-30,13:00:00,Resch Center|Ashwaubenon|Wisconsin,False
10,400986171,FSU,DUKE,0,0,Florida State,Duke,2018,2017-12-30,14:00:00,Cameron Indoor Stadium|Durham|North Carolina,False
11,400988552,DEP,XAV,0,0,DePaul,Xavier,2018,2017-12-30,14:00:00,Cintas Center|Cincinnati|Ohio,False
12,400986172,BC,UVA,0,0,Boston College,Virginia,2018,2017-12-30,14:00:00,John Paul Jones Arena|Charlottesville|Virginia,False
13,400989217,OKLA,TCU,0,0,Oklahoma,TCU,2018,2017-12-30,14:00:00,Ed and Rae Schollmaier Arena|Fort Worth|Texas,False
14,400986175,GT,ND,0,0,Georgia Tech,Notre Dame,2018,2017-12-30,14:00:00,Purcell Pavilion|South Bend|Indiana,False
15,400986472,HARV,MINN,0,0,Harvard,Minnesota,2018,2017-12-30,14:00:00,Williams Arena|Minneapolis|Minnesota,False
16,400989956,SLU,LAS,0,0,Saint Louis,La Salle,2018,2017-12-30,14:00:00,Tom Gola Arena|Philadelphia|Pennsylvania,False
17,400991418,DREX,ELON,0,0,Drexel,Elon,2018,2017-12-30,14:00:00,Alumni Gym (Elon University)|Elon|North Carolina,False
18,400991533,MAINE,CLMB,0,0,Maine,Columbia,2018,2017-12-30,14:00:00,Levien Gymnasium|New York|New York,False
19,400992271,CAM,UNCA,0,0,Campbell,UNC Asheville,2018,2017-12-30,14:00:00,Kimmel Arena|Asheville|North Carolina,False
20,400992330,HP,WIN,0,0,High Point,Winthrop,2018,2017-12-30,14:00:00,Winthrop Coliseum|Rock Hill|South Carolina,False
21,400989940,UMASS,SBON,0,0,Massachusetts,St Bonaventure,2018,2017-12-30,14:30:00,Reilly Center|Saint Bonaventure|New York,False
22,400991272,MONT,SUU,0,0,Montana,Southern Utah,2018,2017-12-30,14:30:00,America First Events Center|Cedar City|Utah,False
23,400992581,USM,WKU,0,0,Southern Mississippi,Western Kentucky,2018,2017-12-30,15:00:00,E. A. Diddle Arena|Bowling Green|Kentucky,False
24,400987280,COR,AUB,0,0,Cornell,Auburn,2018,2017-12-30,15:30:00,Auburn Arena|Auburn|Alabama,False
25,400988553,VILL,BUT,0,0,Villanova,Butler,2018,2017-12-30,16:00:00,Hinkle Fieldhouse|Indianapolis|Indiana,False
26,400986173,MIA,PITT,0,0,Miami,Pittsburgh,2018,2017-12-30,16:00:00,Petersen Events Center|Pittsburgh|Pennsylvania,False
27,400986176,NCST,CLEM,0,0,NC State,Clemson,2018,2017-12-30,16:00:00,Littlejohn Coliseum|Clemson|South Carolina,False
28,400986473,GCU,ILL,0,0,Grand Canyon,Illinois,2018,2017-12-30,16:00:00,State Farm Center|Champaign|Illinois,False
29,400986479,UML,WIS,0,0,UMass Lowell,Wisconsin,2018,2017-12-30,16:00:00,Kohl Center|Madison|Wisconsin,False
30,400986860,SMC,BYU,0,0,Saint Mary's,BYU,2018,2017-12-30,16:00:00,Marriott Center|Provo|Utah,False
31,400986964,PEPP,USD,0,0,Pepperdine,San Diego,2018,2017-12-30,16:00:00,Jenny Craig Pavilion|San Diego|California,False
32,400987281,VAN,FLA,0,0,Vanderbilt,Florida,2018,2017-12-30,16:00:00,Exactech Arena|Gainesville|Florida,False
33,400989674,EVAN,L-IL,0,0,Evansville,Loyola (CHI),2018,2017-12-30,16:00:00,Joseph J. Gentile Center|Chicago|Illinois,False
34,400989819,DAY,DUQ,0,0,Dayton,Duquesne,2018,2017-12-30,16:00:00,A.J. Palumbo Center|Pittsburgh|Pennsylvania,False
35,400989887,GMU,URI,0,0,George Mason,Rhode Island,2018,2017-12-30,16:00:00,Ryan Center|Kingston|Rhode Island,False
36,400989907,JOES,GW,0,0,Saint Joseph's,George Washington,2018,2017-12-30,16:00:00,Charles E. Smith Center|Washington|District of Columbia,False
37,400990573,TOWS,COFC,0,0,Towson,Charleston,2018,2017-12-30,16:00:00,TD Arena|Charleston|South Carolina,False
38,400990643,UCRV,SEA,0,0,UC Riverside,Seattle,2018,2017-12-30,16:00:00,Connolly Center|Seattle|Washington,False
39,400991454,HOF,WM,0,0,Hofstra,William & Mary,2018,2017-12-30,16:00:00,Kaplan Arena|Williamsburg|Virginia,False
40,400991470,NE,JMU,0,0,Northeastern,James Madison,2018,2017-12-30,16:00:00,JMU Convocation Center|Harrisonburg|Virginia,False
41,400991681,YALE,KENN,0,0,Yale,Kennesaw State,2018,2017-12-30,16:00:00,KSU Convocation Center|Kennesaw|Georgia,False
42,400992142,IUPU,WRST,0,0,IUPUI,Wright State,2018,2017-12-30,16:00:00,Nutter Center|Dayton|Ohio,False
43,400992374,RAD,PRE,0,0,Radford,Presbyterian College,2018,2017-12-30,16:00:00,Ross E. Templeton P.E. Center|Clinton|South Carolina,False
44,400988554,GTWN,MARQ,0,0,Georgetown,Marquette,2018,2017-12-30,16:30:00,BMO Harris Bradley Center|Milwaukee|Wisconsin,False
45,400989001,NWST,MCNS,0,0,Northwestern State,McNeese,2018,2017-12-30,16:30:00,Burton Coliseum|Lake Charles|Louisiana,False
46,400989365,DEN,SDAK,0,0,Denver,South Dakota,2018,2017-12-30,16:30:00,Sanford Coyote Sports Center|Vermillion|South Dakota,False
47,400989782,DAV,RICH,0,0,Davidson,Richmond,2018,2017-12-30,16:30:00,Robins Center|Richmond|Virginia,False
48,400990191,CHS,WMU,0,0,Chicago State,Western Michigan,2018,2017-12-30,16:30:00,University Arena (MI)|Kalamazoo|Michigan,False
49,400992313,LIB,WEBB,0,0,Liberty,Gardner-Webb,2018,2017-12-30,16:30:00,Paul Porter Arena|Boiling Springs|North Carolina,False
50,400987278,UNF,MSST,0,0,North Florida,Mississippi State,2018,2017-12-30,17:00:00,Humphrey Coliseum|Starkville|Mississippi,False
51,400988740,WOF,UNCG,0,0,Wofford,UNC Greensboro,2018,2017-12-30,17:00:00,Greensboro Coliseum|Greensboro|North Carolina,False
52,400991729,CSU,SJSU,0,0,Colorado State,San Jose State,2018,2017-12-30,17:00:00,Event Center (San Jose St.)|San Jose|California,False
53,400991768,UNM,NEV,0,0,New Mexico,Nevada,2018,2017-12-30,17:00:00,Lawlor Events Center|Reno|Nevada,False
54,400992579,MTU,UAB,0,0,Middle Tennessee,UAB,2018,2017-12-30,17:00:00,Bartow Arena|Birmingham|Alabama,False
55,400990951,MORE,JVST,0,0,Morehead State,Jacksonville State,2018,2017-12-30,17:30:00,Pete Mathews Coliseum|Jacksonville|Alabama,False
56,400992293,LONG,CHSO,0,0,Longwood,Charleston Southern,2018,2017-12-30,17:30:00,CSU Field House|Charleston|South Carolina,False
57,400987282,TAMU,ALA,0,0,Texas A&M,Alabama,2018,2017-12-30,18:00:00,Coleman Coliseum|Tuscaloosa|Alabama,False
58,400986474,JAC,MICH,0,0,Jacksonville,Michigan,2018,2017-12-30,18:00:00,Crisler Center|Ann Arbor|Michigan,False
