away_TOVP,away_big,home_ats,home_TOVP,home_movement,away_fav,away_public,season,home_public,away_reb,neutral,key,spread_diff,tipstring,date,away,away_ats,home_tPAr,spread,away_movement,home_big,pmargin,home_fav,home_FT,away_tPAr,home_reb,away_FT,home,home_winner
1,0,0,0,1,1,0,2018,1,0,0,"('Ohio State', 'Miami (OH)')",1,12:00 PM ET,2017-12-30,Miami (OH),1,0,-23.0,0,1,17,0,0,1,1,0,Ohio State,0
0,0,0,0,0,1,0,2018,0,0,0,"('Notre Dame', 'Georgia Tech')",0,2:00 PM ET,2017-12-30,Georgia Tech,0,0,-15.0,0,1,13,0,1,0,0,1,Notre Dame,0
0,0,1,0,0,0,0,2018,0,0,0,"('North Carolina', 'Wake Forest')",0,12:00 PM ET,2017-12-30,Wake Forest,0,0,-14.0,1,1,14,0,0,0,1,1,North Carolina,0
0,0,1,0,0,0,0,2018,1,0,0,"('Houston', 'Temple')",0,6:00 PM ET,2017-12-30,Temple,0,0,-7.5,0,0,9,0,1,0,1,0,Houston,1
0,0,1,0,0,1,1,2018,0,0,0,"('Clemson', 'NC State')",0,4:00 PM ET,2017-12-30,NC State,0,0,-10.0,0,1,8,0,1,0,0,1,Clemson,0
0,1,0,0,0,0,0,2018,1,1,0,"('Connecticut', 'Wichita St')",1,12:00 PM ET,2017-12-30,Wichita St,0,0,11.0,1,0,-8,1,1,0,0,1,Connecticut,1
0,0,0,0,0,1,0,2018,1,1,0,"('Florida', 'Vanderbilt')",0,4:00 PM ET,2017-12-30,Vanderbilt,0,0,-9.0,0,0,7,0,1,1,0,1,Florida,0
1,0,0,0,0,1,1,2018,0,0,0,"('Northwestern', 'Brown')",1,12:00 PM ET,2017-12-30,Brown,1,1,-17.0,0,1,12,0,0,0,0,1,Northwestern,0
0,0,0,0,0,1,0,2018,1,0,0,"('VCU', 'Fordham')",0,12:30 PM ET,2017-12-30,Fordham,0,0,-11.5,0,1,9,0,0,1,1,0,VCU,0
0,1,1,0,0,0,1,2018,0,1,0,"('Green Bay', 'Oakland')",1,1:00 PM ET,2017-12-30,Oakland,0,0,10.0,0,0,-7,1,1,0,0,1,Green Bay,1
0,0,1,0,1,0,0,2018,1,0,0,"('Duke', 'Florida State')",0,2:00 PM ET,2017-12-30,Florida State,1,0,-11.5,0,1,10,0,0,0,1,0,Duke,0
0,0,0,0,0,0,1,2018,0,0,0,"('La Salle', 'Saint Louis')",0,2:00 PM ET,2017-12-30,Saint Louis,0,0,-6.0,1,0,7,0,0,0,0,1,La Salle,1
