Name,date,ORTG,ORTGlast3,home_ORTG,away_ORTG,ORTGprevSeason,DRTG,DRTGlast3,home_DRTG,away_DRTG,DRTGprevSeason
Michigan State,2012-11-09,0.0,0.0,0.0,0.0,1.0759999999999998,0.0,0.0,0.0,0.0,0.890914
Connecticut,2012-11-09,0.0,0.0,0.0,0.0,1.03541,0.0,0.0,0.0,0.0,0.9720260000000001
Ohio State,2012-11-09,0.0,0.0,0.0,0.0,1.09958,0.0,0.0,0.0,0.0,0.880647
Marquette,2012-11-09,0.0,0.0,0.0,0.0,1.04518,0.0,0.0,0.0,0.0,0.914435
Fresno State,2012-11-09,0.0,0.0,0.0,0.0,0.984734,0.0,0.0,0.0,0.0,1.0101
Texas,2012-11-09,0.0,0.0,0.0,0.0,1.05664,0.0,0.0,0.0,0.0,0.971081
Miami (OH),2012-11-09,0.0,0.0,0.0,0.0,0.972459,0.0,0.0,0.0,0.0,1.03692
NC State,2012-11-09,0.0,0.0,0.0,0.0,1.05208,0.0,0.0,0.0,0.0,0.9756239999999999
Georgia State,2012-11-09,0.0,0.0,0.0,0.0,0.998826,0.0,0.0,0.0,0.0,0.870605
Duke,2012-11-09,0.0,0.0,0.0,0.0,1.10572,0.0,0.0,0.0,0.0,0.9820180000000001
Drexel,2012-11-09,0.0,0.0,0.0,0.0,1.04667,0.0,0.0,0.0,0.0,0.8996870000000001
Kent State,2012-11-09,0.0,0.0,0.0,0.0,1.00779,0.0,0.0,0.0,0.0,0.9540629999999999
Tulane,2012-11-09,0.0,0.0,0.0,0.0,0.9618909999999999,0.0,0.0,0.0,0.0,0.939425
Georgia Tech,2012-11-09,0.0,0.0,0.0,0.0,0.928422,0.0,0.0,0.0,0.0,0.96524
South Alabama,2012-11-09,0.0,0.0,0.0,0.0,0.975686,0.0,0.0,0.0,0.0,0.9877450000000001
Florida State,2012-11-09,0.0,0.0,0.0,0.0,0.996751,0.0,0.0,0.0,0.0,0.898015
Georgetown,2012-11-09,0.0,0.0,0.0,0.0,1.04308,0.0,0.0,0.0,0.0,0.9040030000000001
Florida,2012-11-09,0.0,0.0,0.0,0.0,1.12319,0.0,0.0,0.0,0.0,0.96159
Virginia,2012-11-09,0.0,0.0,0.0,0.0,1.0004600000000001,0.0,0.0,0.0,0.0,0.8678959999999999
George Mason,2012-11-09,0.0,0.0,0.0,0.0,1.0010299999999999,0.0,0.0,0.0,0.0,0.9230370000000001
North Texas,2012-11-09,0.0,0.0,0.0,0.0,0.969759,0.0,0.0,0.0,0.0,0.9391959999999999
Creighton,2012-11-09,0.0,0.0,0.0,0.0,1.15091,0.0,0.0,0.0,0.0,1.01265
Cal Poly,2012-11-09,0.0,0.0,0.0,0.0,1.03651,0.0,0.0,0.0,0.0,0.984633
TCU,2012-11-09,0.0,0.0,0.0,0.0,1.00776,0.0,0.0,0.0,0.0,1.0320799999999999
Louisiana Tech,2012-11-09,0.0,0.0,0.0,0.0,0.9747870000000001,0.0,0.0,0.0,0.0,0.995641
Texas A&M,2012-11-09,0.0,0.0,0.0,0.0,0.941966,0.0,0.0,0.0,0.0,0.9569979999999999
Mississippi State,2012-11-09,0.0,0.0,0.0,0.0,1.06045,0.0,0.0,0.0,0.0,0.9975459999999999
Troy,2012-11-09,0.0,0.0,0.0,0.0,0.9962110000000001,0.0,0.0,0.0,0.0,1.0910600000000001
Fordham,2012-11-09,0.0,0.0,0.0,0.0,0.890817,0.0,0.0,0.0,0.0,1.02813
Texas State,2012-11-09,0.0,0.0,0.0,0.0,0.979944,0.0,0.0,0.0,0.0,1.0243
Toledo,2012-11-09,0.0,0.0,0.0,0.0,1.01173,0.0,0.0,0.0,0.0,1.00734
Loyola (CHI),2012-11-09,0.0,0.0,0.0,0.0,0.9064469999999999,0.0,0.0,0.0,0.0,1.0126
UC Santa Barbara,2012-11-09,0.0,0.0,0.0,0.0,1.08051,0.0,0.0,0.0,0.0,1.00047
LSU,2012-11-09,0.0,0.0,0.0,0.0,0.948559,0.0,0.0,0.0,0.0,0.931848
Maryland,2012-11-09,0.0,0.0,0.0,0.0,0.996125,0.0,0.0,0.0,0.0,1.02558
Kentucky,2012-11-09,0.0,0.0,0.0,0.0,1.13741,0.0,0.0,0.0,0.0,0.8904489999999999
UC Davis,2012-11-09,0.0,0.0,0.0,0.0,0.9072469999999999,0.0,0.0,0.0,0.0,1.09905
Oklahoma State,2012-11-09,0.0,0.0,0.0,0.0,0.9790190000000001,0.0,0.0,0.0,0.0,1.00753
UC Riverside,2012-11-09,0.0,0.0,0.0,0.0,0.879818,0.0,0.0,0.0,0.0,0.9679049999999999
