Name,date,FTO,FTOlast3,FTOprevSeason,FTD,FTDlast3,FTDprevSeason,Three_O,Three_Olast3,Three_OprevSeason,Three_D,Three_Dlast3,Three_DprevSeason,REBO,REBOlast3,REBOprevSeason,REBD,REBDlast3,REBDprevSeason,REB,REBlast3,REBprevSeason,TOP,TOPlast3,TOPprevSeason,TOFP,TOFPlast3,TOFPprevSeason,POSS,POSSlast3,POSSprevSeason
William & Mary,2014-11-14,0.0,0.0,21.8246,0.0,0.0,0.227766,0.0,0.0,8.64516,0.0,0.0,0.373288,0.0,0.0,0.229834,0.0,0.0,0.706006,0.0,0.0,0.47329,0.0,0.0,0.144788,0.0,0.0,0.138209,0.0,0.0,65.9214
Florida,2014-11-14,0.0,0.0,23.2008,0.0,0.0,0.22155100000000003,0.0,0.0,6.53846,0.0,0.0,0.32961799999999997,0.0,0.0,0.34112600000000004,0.0,0.0,0.7347279999999999,0.0,0.0,0.537331,0.0,0.0,0.148491,0.0,0.0,0.186159,0.0,0.0,64.3215
VCU,2014-11-14,0.0,0.0,20.3318,0.0,0.0,0.25929800000000003,0.0,0.0,7.42857,0.0,0.0,0.30303,0.0,0.0,0.331538,0.0,0.0,0.7241380000000001,0.0,0.0,0.506149,0.0,0.0,0.14321199999999998,0.0,0.0,0.22295399999999999,0.0,0.0,73.0736
Tennessee,2014-11-14,0.0,0.0,25.5384,0.0,0.0,0.234123,0.0,0.0,5.38889,0.0,0.0,0.345149,0.0,0.0,0.39009,0.0,0.0,0.7559680000000001,0.0,0.0,0.5615100000000001,0.0,0.0,0.138069,0.0,0.0,0.147524,0.0,0.0,64.82600000000001
Minnesota,2014-11-14,0.0,0.0,23.4045,0.0,0.0,0.28224499999999997,0.0,0.0,7.189189999999999,0.0,0.0,0.34428600000000004,0.0,0.0,0.277982,0.0,0.0,0.709763,0.0,0.0,0.50344,0.0,0.0,0.156289,0.0,0.0,0.160471,0.0,0.0,67.2081
Louisville,2014-11-14,0.0,0.0,23.405,0.0,0.0,0.255306,0.0,0.0,7.78378,0.0,0.0,0.286195,0.0,0.0,0.365642,0.0,0.0,0.6913779999999999,0.0,0.0,0.5202979999999999,0.0,0.0,0.12770499999999999,0.0,0.0,0.21404099999999998,0.0,0.0,70.2091
Cornell,2014-11-14,0.0,0.0,15.8604,0.0,0.0,0.332059,0.0,0.0,6.888889999999999,0.0,0.0,0.410463,0.0,0.0,0.26087,0.0,0.0,0.6875,0.0,0.0,0.460066,0.0,0.0,0.15808599999999998,0.0,0.0,0.13409200000000002,0.0,0.0,67.2532
George Mason,2014-11-14,0.0,0.0,22.4317,0.0,0.0,0.324486,0.0,0.0,4.93548,0.0,0.0,0.33511599999999997,0.0,0.0,0.28496900000000003,0.0,0.0,0.71746,0.0,0.0,0.5070819999999999,0.0,0.0,0.17163,0.0,0.0,0.154478,0.0,0.0,70.321
Virginia,2014-11-14,0.0,0.0,23.0413,0.0,0.0,0.23712800000000003,0.0,0.0,5.56757,0.0,0.0,0.324324,0.0,0.0,0.316148,0.0,0.0,0.772727,0.0,0.0,0.546895,0.0,0.0,0.140245,0.0,0.0,0.16081099999999998,0.0,0.0,62.5199
James Madison,2014-11-14,0.0,0.0,24.8825,0.0,0.0,0.311291,0.0,0.0,4.87097,0.0,0.0,0.351477,0.0,0.0,0.274327,0.0,0.0,0.700828,0.0,0.0,0.489461,0.0,0.0,0.16261099999999998,0.0,0.0,0.157132,0.0,0.0,66.6359
Georgia,2014-11-14,0.0,0.0,28.0328,0.0,0.0,0.31055,0.0,0.0,4.91176,0.0,0.0,0.319444,0.0,0.0,0.334951,0.0,0.0,0.723696,0.0,0.0,0.533475,0.0,0.0,0.169249,0.0,0.0,0.137722,0.0,0.0,67.3581
Georgia Tech,2014-11-14,0.0,0.0,19.6348,0.0,0.0,0.27725700000000003,0.0,0.0,5.24242,0.0,0.0,0.33165,0.0,0.0,0.312023,0.0,0.0,0.746908,0.0,0.0,0.5191640000000001,0.0,0.0,0.155755,0.0,0.0,0.135002,0.0,0.0,67.1348
Florida Atlantic,2014-11-14,0.0,0.0,19.2663,0.0,0.0,0.298171,0.0,0.0,6.3,0.0,0.0,0.33691,0.0,0.0,0.31282600000000005,0.0,0.0,0.671162,0.0,0.0,0.496975,0.0,0.0,0.165523,0.0,0.0,0.140291,0.0,0.0,67.1292
Elon,2014-11-14,0.0,0.0,20.327,0.0,0.0,0.292254,0.0,0.0,7.689660000000001,0.0,0.0,0.333333,0.0,0.0,0.252887,0.0,0.0,0.701174,0.0,0.0,0.482412,0.0,0.0,0.154867,0.0,0.0,0.144155,0.0,0.0,69.0435
Oakland,2014-11-14,0.0,0.0,22.1212,0.0,0.0,0.294426,0.0,0.0,8.51613,0.0,0.0,0.393443,0.0,0.0,0.2375,0.0,0.0,0.71573,0.0,0.0,0.45702,0.0,0.0,0.14186600000000002,0.0,0.0,0.173646,0.0,0.0,71.1621
Iowa State,2014-11-14,0.0,0.0,21.0361,0.0,0.0,0.23073600000000002,0.0,0.0,8.36111,0.0,0.0,0.340789,0.0,0.0,0.26705500000000004,0.0,0.0,0.737003,0.0,0.0,0.510677,0.0,0.0,0.126578,0.0,0.0,0.138177,0.0,0.0,74.475
Georgia Southern,2014-11-14,0.0,0.0,20.0203,0.0,0.0,0.23832899999999999,0.0,0.0,6.80645,0.0,0.0,0.34858,0.0,0.0,0.28248,0.0,0.0,0.708595,0.0,0.0,0.494242,0.0,0.0,0.154272,0.0,0.0,0.156521,0.0,0.0,68.3177
Illinois,2014-11-14,0.0,0.0,19.6717,0.0,0.0,0.232096,0.0,0.0,6.0,0.0,0.0,0.342636,0.0,0.0,0.29159,0.0,0.0,0.728053,0.0,0.0,0.504055,0.0,0.0,0.141302,0.0,0.0,0.162074,0.0,0.0,64.4871
UC Santa Barbara,2014-11-14,0.0,0.0,23.7083,0.0,0.0,0.287504,0.0,0.0,6.892860000000001,0.0,0.0,0.35181999999999997,0.0,0.0,0.293017,0.0,0.0,0.703905,0.0,0.0,0.5118729999999999,0.0,0.0,0.152672,0.0,0.0,0.13616099999999998,0.0,0.0,65.5286
