Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP,,,,,,,
Abilene Christian,0.250,0.331,0.317,0.373,0.371,0.211,0.675,0.200,0.156,,,,,,,
Air Force,0.206,0.307,0.332,0.329,0.337,0.236,0.708,0.181,0.154,,,,,,,
Akron,0.200,0.258,0.307,0.346,0.335,0.335,0.707,0.167,0.168,,,,,,,
Alab A&M,0.229,0.359,0.287,0.323,0.314,0.246,0.679,0.172,0.170,,,,,,,
Alabama,0.233,0.290,0.258,0.333,0.307,0.270,0.679,0.158,0.163,,,,,,,
Alabama St,0.234,0.275,0.230,0.280,0.314,0.309,0.677,0.148,0.182,,,,,,,
Albany,0.244,0.215,0.218,0.360,0.349,0.302,0.736,0.171,0.159,,,,,,,
Alcorn State,0.232,0.290,0.215,0.301,0.348,0.270,0.669,0.155,0.164,,,,,,,
American,0.182,0.285,0.298,0.378,0.319,0.250,0.729,0.205,0.171,,,,,,,
App State,0.228,0.299,0.218,0.294,0.371,0.299,0.698,0.159,0.163,,,,,,,
AR Lit Rock,0.251,0.341,0.206,0.311,0.349,0.288,0.719,0.164,0.159,,,,,,,
Arizona,0.207,0.246,0.221,0.364,0.320,0.342,0.764,0.132,0.166,,,,,,,
Arizona St,0.220,0.271,0.323,0.390,0.326,0.222,0.724,0.145,0.146,,,,,,,
Ark Pine Bl,0.223,0.324,0.296,0.341,0.368,0.254,0.677,0.195,0.207,,,,,,,
Arkansas,0.225,0.288,0.279,0.362,0.346,0.309,0.658,0.135,0.196,,,,,,,
Arkansas St,0.226,0.261,0.352,0.386,0.325,0.239,0.698,0.156,0.157,,,,,,,
Army,0.182,0.250,0.312,0.338,0.389,0.306,0.679,0.163,0.171,,,,,,,
Auburn,0.245,0.332,0.241,0.311,0.386,0.301,0.691,0.154,0.161,,,,,,,
Austin Peay,0.240,0.248,0.200,0.335,0.362,0.275,0.666,0.188,0.170,,,,,,,
Ball State,0.238,0.321,0.300,0.315,0.331,0.319,0.710,0.213,0.141,,,,,,,
Baylor,0.229,0.241,0.294,0.380,0.356,0.386,0.692,0.147,0.134,,,,,,,
Belmont,0.209,0.294,0.336,0.390,0.345,0.268,0.676,0.165,0.177,,,,,,,
Beth-Cook,0.210,0.355,0.332,0.358,0.353,0.285,0.632,0.168,0.165,,,,,,,
Binghamton,0.259,0.282,0.297,0.320,0.385,0.257,0.680,0.187,0.170,,,,,,,
Boise State,0.211,0.295,0.300,0.365,0.353,0.314,0.752,0.128,0.150,,,,,,,
Boston Col,0.241,0.305,0.337,0.352,0.379,0.255,0.666,0.153,0.128,,,,,,,
Boston U,0.169,0.225,0.339,0.363,0.354,0.247,0.721,0.155,0.177,,,,,,,
Bowling Grn,0.203,0.268,0.178,0.283,0.356,0.286,0.720,0.190,0.177,,,,,,,
Bradley,0.216,0.296,0.227,0.322,0.326,0.298,0.706,0.160,0.174,,,,,,,
Brown,0.200,0.272,0.278,0.377,0.306,0.291,0.744,0.160,0.144,,,,,,,
Bryant,0.200,0.240,0.257,0.332,0.364,0.258,0.673,0.158,0.152,,,,,,,
Bucknell,0.195,0.240,0.297,0.390,0.339,0.254,0.769,0.147,0.125,,,,,,,
Buffalo,0.230,0.260,0.268,0.337,0.306,0.330,0.712,0.157,0.165,,,,,,,
Butler,0.207,0.231,0.253,0.314,0.315,0.286,0.734,0.131,0.155,,,,,,,
BYU,0.246,0.267,0.185,0.368,0.337,0.332,0.729,0.130,0.144,,,,,,,
Cal Poly,0.198,0.302,0.305,0.329,0.338,0.290,0.691,0.125,0.154,,,,,,,
