Name,PPG,TPG,opp3,FPG,TOF,TO,REB,FTPG,perc3
Abilene Christian,63.7,7.5,27,21.32258065,14.58064516,12.87096774,-6.9,11.41935484,38
Air Force,65.7,7.5,27.1,17.80645161,12.35483871,11.80645161,-0.8,10.35483871,37.1
Akron,68.1,9.4,28.2,18.68571429,12.65714286,12.05714286,0.7,11.6,35
Alabama,67.1,6.5,28.6,19.23529412,12.23529412,11.97058824,-0.4,15.85294118,31.7
Alabama A&M,62,5.7,28.8,19.75862069,11.86206897,14.24137931,-0.7,14.31034483,28.8
Alabama St.,72.1,5.9,29.2,17.93103448,13.5862069,13.68965517,5.2,13.65517241,35.8
Albany,65.3,6.2,29.7,16.48484848,12.36363636,11.54545455,4.4,14.93939394,35.8
Alcorn St.,64.6,4.8,29.7,17.78125,12.375,11.46875,-5.1,14.46875,28
American,58.7,6.5,29.9,14.66666667,12.60606061,11.21212121,-4.7,10.87878788,37.3
Appalachian St.,63.5,6.4,30,19,11.44827586,13.72413793,-0.1,13.13793103,31.6
Arizona,76.6,5.1,30,17.92105263,13.76315789,11.02631579,8.8,18.42105263,36
Arizona St.,69.4,6.8,30,18.76470588,12.85294118,13.94117647,3.8,15.02941176,35
Arkansas,77.4,6.6,30.2,19,15.75,11.94444444,0.3,16.47222222,34.9
Arkansas Pine Bluff,59.8,6.3,30.1,19.46875,16.1875,15.28125,-6.6,12.40625,33.2
Arkansas St.,64.4,5.8,30.3,17.10344828,11.82758621,13.44827586,-1.2,12.82758621,32.9
Army,72.1,7.6,30.3,20.4,13.46666667,13.2,-1,12.63333333,32.6
Auburn,67.9,7.2,30.3,20.22857143,14.65714286,12.91428571,-5.5,17.31428571,34.7
Austin Peay,64.6,5.2,30.3,17.13333333,14.13333333,14.26666667,0.5,15.2,30.2
Ball St.,65.4,7.8,30.4,19.2,12,14.13333333,0.3,12.96666667,34.2
Baylor,69.1,6.9,30.4,16.61764706,12.05882353,12.76470588,8.3,14.32352941,37.7
Belmont,74.2,10,30.4,16.63636364,12.66666667,13.66666667,0.4,12.27272727,38
Bethune Cookman,59.3,5.1,30.5,19.46875,12.53125,14.03125,1.5,15.0625,30.1
Binghamton,57.7,5.3,30.5,18.03125,13.09375,13.53125,-4.1,12.75,30.9
Boise St.,70.3,8.7,30.6,17.11764706,12.64705882,10.23529412,2.6,12.67647059,39.2
Boston College,65.8,6.5,30.7,18.96875,12.21875,12.15625,-2.6,12.875,32.4
Boston University,67.9,7.7,30.7,17.36666667,10.73333333,12.3,0.8,15.63333333,36.8
Bowling Green,66.5,6.6,30.8,16.66666667,12.45454545,11.6969697,1.4,12.72727273,33.7
Bradley,57,5.4,30.8,19.54545455,13.75757576,12.66666667,0.6,12.87878788,30.1
Brown,66.1,5.6,30.9,19.06451613,11.22580645,14.83870968,1.6,16.16129032,31.9
Bryant,66.4,7.3,30.9,18.06451613,10.74193548,11.80645161,-1.4,13.35483871,34.6
Bucknell,68.8,6.9,30.9,18.55882353,9.411764706,11.08823529,2.1,14.88235294,38.5
Buffalo,74.6,6,31,18.57575758,13.57575758,11.45454545,2.9,17.84848485,34.1
Butler,69,5.6,31,17.41176471,12.67647059,11.05882353,5.6,15.47058824,35.6
BYU,83.7,8.6,31.1,20.6,13.02857143,11.91428571,4.7,19.4,39.3
Cal Poly,60.4,5.7,31.2,16.03448276,10.55172414,8.793103448,1.4,11.93103448,31.1
Cal St. Bakersfield,63.6,5.6,31.9,20.39393939,12.21212121,12.39393939,4.8,14.66666667,33.6
Cal St. Fullerton,64.2,5.4,31.2,18.25806452,11.12903226,12.61290323,0.9,13.80645161,31.9
Cal St. Northridge,65.1,3.3,31.9,18.09090909,11.03030303,13.18181818,0.6,16.90909091,32.6
California,66.5,5.6,31.2,19,9.575757576,11.06060606,0.9,11.15151515,35.9
Campbell,63.9,8.2,31.2,18,12.28125,12.59375,-2.1,11.65625,35.6
Canisius,65.7,6.5,31.3,18.42424242,13.93939394,11.90909091,0.6,13,31.8
Central Arkansas,65.3,6.8,31.4,20.82758621,13.06896552,18.24137931,-5.6,14,35.3
Central Connecticut,59.2,4.7,31.4,13.83870968,10.16129032,13.70967742,-1.5,10.96774194,32.2
Central Michigan,78.3,10.1,31.4,17.5625,13.46875,10.15625,0.1,15.1875,37.3
Charleston Southern,73.5,9.3,31.5,17.41935484,13.22580645,11.41935484,3.4,14.03225806,34.1
Charlotte,73.8,6.3,31.5,17.4375,12.75,13.59375,1.9,13.90625,37.6
Chattanooga,72.7,6.8,31.5,19.375,13.46875,13.0625,1.3,16.3125,35
Chicago St.,58,6.1,31.5,21.25,15.375,14.71875,-1.2,10.71875,30.1
Cincinnati,62.1,4.9,31.5,14.91176471,12.02941176,12.70588235,4.5,12.47058824,32.9
Clemson,62.7,5.5,31.5,16.19354839,11.22580645,11.77419355,2.1,12.74193548,29.9
Cleveland St.,67.5,7.3,31.6,19.17647059,13.97058824,12,1.1,11.61764706,38.2
