Name,PPG,3PG,opp 3%,Fouls PG,TOF PG,TO PG,REB MAR,FT PG
A&M-Corpus Christi,73.6,6.5,34.9,21.2,16,12.6969697,-0.8,16.27272727
Abilene Christian,71.3,6.7,34.6,22,14.4516129,13.48387097,-1.3,14.77419355
Air Force,68.4,6.3,34.4,19.3,13.59375,13.21875,-2.5,15.09375
Akron,76.6,11.7,29.4,17.7,11.68571429,10.88571429,-0.1,12.88571429
Alabama,66.5,7.8,32.9,19.2,12.15151515,13.27272727,-3.6,13.87878788
Alabama A&M,68.2,6,32.6,19.4,11.31034483,11.75862069,-0.6,15.13793103
Alabama St.,71.5,6.9,33.9,20.9,12.96774194,11.96774194,-0.6,13.74193548
Albany (NY),75.6,5.7,30.5,17.6,13,12.51515152,7.5,18.51515152
Alcorn,67.2,5.8,36.4,18.3,11.9,14.3,1.1,15.26666667
American,57.6,6.3,31.1,18.3,12,13.80645161,-3.8,10.58064516
Appalachian St.,70.5,8.3,38.6,21.5,11.25806452,14.90322581,-0.5,15.90322581
Arizona,80.4,6.5,31.6,18.4,11.44117647,13,9.2,18.29411765
Arizona St.,73.3,7.9,35.3,20.4,12.84375,12,0.6,15.59375
Ark.-Pine Bluff,56.6,6.1,32.3,21.9,13.27272727,15.63636364,-7.4,9.606060606
Arkansas,78.2,6.8,35.9,21.5,14.28125,11.15625,0,16.21875
Arkansas St.,73.6,5.8,35.2,19.9,11.48387097,12.83870968,-0.5,18.12903226
Army West Point,76.9,8.9,34.6,19,12.36363636,13.63636364,3.3,13.78787879
Auburn,70.7,8.8,34.8,21.3,13,13.80645161,-4.4,15.22580645
Austin Peay,76.1,6.2,36,17.6,13.33333333,13.94444444,2.5,17.41666667
Ball St.,70.8,8.7,34.8,19,11.37142857,13.25714286,2.4,13.25714286
Baylor,77.1,6.2,36.5,19.4,13.64705882,12.70588235,7.6,16.02941176
Belmont,82.4,10.6,35.2,20,12.21875,14.0625,-1.1,14.75
Bethune-Cookman,70.6,7.8,33.9,18.8,13.1875,12.96875,-2.3,12.84375
Binghamton,60.9,5.7,33.7,18.6,12.36666667,13.96666667,-2.9,13.26666667
Boise St.,77.5,8.2,35,19.4,14.78125,11.625,1.9,16.71875
Boston College,61.2,7.2,38.2,18.1,13.09375,13.46875,-5.5,9.1875
Boston U.,73,8,33.2,18.9,12.05882353,13.76470588,0.9,14.5
Bowling Green,70.6,6,37.3,19.3,11.85294118,12.64705882,0.9,14.67647059
Bradley,56,5.2,34.5,23.3,11.75,17.125,-1.3,13
Brown,72.9,8,35.6,19.4,11.75,13.42857143,-2.6,15.03571429
Bryant,65.1,6.4,33.1,19.1,11.16129032,13.5483871,-5.5,10
Bucknell,79,7.5,35,21.2,13.03225806,13.64516129,2.3,17.83870968
Buffalo,77.4,7.5,33.9,21.4,13.25714286,13.57142857,2.5,17.6
Butler,79.9,7.2,33.8,19.6,13.03030303,10.15151515,3.1,17.15151515
BYU,83.6,8.9,33.3,18.6,13.24324324,11.72972973,4.7,15.43243243
Cal Poly,72.4,7.9,38.9,20.1,10.93333333,10.26666667,-0.3,14.1
Cal St. Fullerton,70.1,6.4,35.2,20.4,11.46666667,13.1,0.7,17.16666667
California,74.9,6.9,34.7,20.8,9.764705882,12.32352941,6.8,15.55882353
Campbell,73.6,7.5,36.8,19.4,13.5,11.76666667,-4.7,16.5
Canisius,76.5,8.6,38,19.5,13.84848485,11.21212121,-3.4,16.6969697
Central Ark.,75.4,6.6,38.7,20.5,11.64285714,14.53571429,0.6,16.32142857
Central Conn. St.,65.1,5.7,35.8,17.4,10.34482759,13.86206897,-1.7,12.4137931
Central Mich.,75.6,9.8,34.7,18.5,10.75757576,9.181818182,-2.4,13.24242424
Charleston So.,71.5,9.3,36.8,19.2,12.53333333,12.6,-1.6,10.6
Charlotte,78.3,8.1,39.3,17.8,13.39393939,12,-0.1,14.48484848
Chattanooga,75.8,7.5,33.1,17,14.17142857,12.48571429,3.2,17.02857143
Chicago St.,66.9,7.1,38.1,21.8,14.6875,14.3125,-3.5,12
Cincinnati,73.3,7.6,35.7,15.6,13.63636364,11,4.7,14.06060606
Clemson,69.6,7.7,34.9,16.5,11.5483871,10.16129032,0.3,13.38709677
Cleveland St.,60.8,5.4,34.1,20.9,13.46875,14.34375,-1.9,11.40625
Coastal Caro.,73,7.4,30.4,17.2,11.03030303,12.3030303,3.6,13.87878788
Col. of Charleston,65.4,6.6,32.3,20,14.38709677,12.67741935,1.1,12.19354839
Colgate,69.8,8.9,37.3,19.5,12.9,12.16666667,-3.1,11.06666667
Colorado,75.8,7.4,35.5,18.8,11.02941176,13.35294118,8.6,17.47058824
Colorado St.,79.4,9.6,35.2,19.4,10.5,11.61764706,5.4,18.17647059
Columbia,76.3,9.6,35.5,18.5,12.85714286,10.82857143,2.5,15.31428571
Coppin St.,72.3,7.7,36.9,21.5,14,13.16129032,-4.4,16.77419355
Cornell,71.1,8.3,35.9,20.1,14.71428571,13.28571429,-10.4,12.60714286
Creighton,79.6,8.1,34.6,18.9,12.6,11.6,2,15.6
CSU Bakersfield,72.9,5.4,32.7,21.5,15.15151515,12.27272727,4,14.42424242
CSUN,71.4,4.2,38.7,20.2,13.8,14,-2.1,17.56666667
Dartmouth,71.1,5.6,34.7,20.3,14.67857143,14.32142857,2.5,15.57142857
Davidson,79,9.6,34.7,17.2,11.45454545,10.15151515,-4.2,15.24242424
Dayton,72.5,6.7,34.9,19,12.51515152,12.93939394,4.6,15.15151515
Delaware,66.2,5.6,34.8,17.9,9.166666667,12,1.1,16
Delaware St.,61.9,7.2,32.2,19.8,13.28125,13.9375,-7.8,10.3125
Denver,65.2,7.6,37.1,19.2,14.22580645,13.03225806,-5.3,13.16129032
DePaul,67.5,5.4,36.4,22.1,12.22580645,14.77419355,0.9,13.5483871
Detroit,83.7,7.9,35.1,22.8,13.35483871,13.61290323,2,17.90322581
Drake,67.5,6.9,36.9,18,9.741935484,13.58064516,0.4,13.09677419
Drexel,63.2,5.5,36.3,21.8,11.77419355,11.12903226,-2.7,14
Duke,81.1,9.1,34,16.8,11.94444444,9.833333333,-0.6,17.38888889
Duquesne,79.5,9.5,40.1,20.4,11.64705882,13.91176471,1.6,14.17647059
East Carolina,68.3,7.3,33.1,16.8,12.59375,13.25,-2,13.5
Eastern Ill.,71.5,7.7,33.4,19.5,13.66666667,12.13333333,-5.3,12.83333333
Eastern Ky.,80.5,8.3,37.6,21.5,15.06451613,14.74193548,-3.3,16.48387097
Eastern Mich.,77.4,5.7,34.9,20.5,16.03030303,12.87878788,-1.9,18.66666667
Eastern Wash.,81.4,10.5,36.8,19.4,11.61764706,11.20588235,-0.8,14.44117647
Elon,75.9,9.5,36.2,19,11.78125,12.84375,-1,12.375
ETSU,78.1,8.2,33.3,20.2,13.16666667,12.83333333,-0.2,15.27777778
Evansville,74.3,4.6,32.4,17.7,12.88235294,12.52941176,3.1,17.94117647
Fairfield,76.4,8.9,33.7,19.2,13.90909091,12.93939394,-5.9,14.51515152
Fairleigh Dickinson,77.5,7.2,35.4,21.8,15.45454545,12.81818182,-5.4,14
FGCU,77.2,5.3,30.4,19.3,12.05714286,12.51428571,5.3,14.31428571
FIU,71.2,5.7,32.5,18.7,9.96875,12.9375,2.7,13.375
Fla. Atlantic,66.3,6.9,35.5,19.1,11.45454545,12.18181818,-6.3,13.81818182
Florida,74.4,7.2,34.3,19.4,13.08333333,11.25,2,15.52777778
Florida A&M,64.2,5.8,33,19.5,14.96551724,16.06896552,-4.6,14.03448276
Florida St.,78,6.5,36.2,19.3,13.64705882,12.97058824,3.4,15.76470588
Fordham,71.2,7.8,33.4,19.7,15.74193548,14.12903226,1.6,12.87096774
Fort Wayne,79.4,10.4,38.6,17.3,11.38235294,12.26470588,2,14.20588235
Fresno St.,75.1,6.3,33.1,21.8,15.14285714,10.8,0.5,15.97142857
