team,opponent,team_score,opp_score,date,OT,neutral,home_game,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp-eFG%,Opp-TOV%,Opp-ORB%,Opp-FT/FGA
Abilene Christian,Duquesne,75,94,11/9/2013,0,FALSE,FALSE,97.4,122.1,77.4,0.508,0.397,0.48,42.9,40.9,3.9,2.6,0.405,11.5,23.1,0.381,0.578,11.9,67.7,0.466
Abilene Christian,St. Bonaventure,47,75,11/11/2013,0,FALSE,FALSE,77,123,60.8,0.65,0.4,0.449,36.5,50,3.3,2.4,0.4,23.7,29,0.375,0.464,11.4,43.8,0.411
Abilene Christian,Maryland,44,67,11/13/2013,0,FALSE,FALSE,65.7,100,66.5,0,0.389,0.407,32.1,52.9,9,0,0.407,22.9,10.3,0,0.528,21.9,55.6,0.208
Abilene Christian,Iowa,41,103,11/17/2013,0,FALSE,FALSE,57.7,145.1,70.6,0.222,0.426,0.343,43.5,42.9,4.2,0,0.287,22.3,18.9,0.185,0.697,6.6,80,0.295
Abilene Christian,Texas Christian,64,71,11/19/2013,0,FALSE,FALSE,100,110.9,64.2,0.5,0.4,0.517,54.5,68.4,6.3,5.7,0.47,17.6,31.3,0.34,0.49,8.5,76.5,0.5
Abilene Christian,Western New Mexico,62,44,11/22/2013,0,TRUE,TRUE,98.4,69.8,63,0.805,0.512,0.547,68.5,68.8,15.9,11.1,0.451,26.5,52.2,0.61,0.378,19.4,80.6,0.143
Abilene Christian,Northern New Mexico,78,56,11/23/2013,0,TRUE,TRUE,101.3,72.7,77.4,0.317,0.349,0.538,54.7,70.4,13,0,0.508,21.8,34.3,0.222,0.41,26.1,72.5,0.3
Abilene Christian,Xavier,65,93,11/25/2013,0,FALSE,FALSE,97,138.8,66.9,0.264,0.453,0.545,29.7,47.8,4.5,6.8,0.519,15.7,9.4,0.189,0.632,9.9,50,0.368
Abilene Christian,West Alabama,67,77,11/29/2013,0,TRUE,TRUE,98.5,113.2,68.3,0.463,0.407,0.509,41.5,57.1,8.8,13.8,0.472,12.2,19.4,0.296,0.511,16.5,72.7,0.652
Abilene Christian,Towson,47,74,11/30/2013,0,FALSE,FALSE,75.8,119.4,62.4,0.2,0.345,0.39,38.3,44.4,11.3,10.7,0.355,10.5,19.4,0.145,0.644,20.9,75,0.356
Abilene Christian,Hillsdale Free Will Baptist,93,53,12/3/2013,0,FALSE,TRUE,114.8,65.4,80.7,0.348,0.261,0.578,62.5,56.8,18.5,17.1,0.587,14,39.4,0.174,0.342,25.2,82.1,0.246
Abilene Christian,Bacone,90,63,12/17/2013,0,FALSE,TRUE,121.6,85.1,73.5,0.339,0.403,0.625,53.7,71,6.8,27.3,0.589,15.4,28.6,0.274,0.43,18.7,71.8,0.246
Abilene Christian,Open Bible College,87,43,12/18/2013,0,FALSE,TRUE,124.3,61.4,69.6,0.354,0.231,0.573,64.3,48.4,12.9,3.3,0.515,12.8,46.2,0.308,0.337,25.8,87.1,0.204
Abilene Christian,Open Bible College,99,49,12/30/2013,0,FALSE,TRUE,141.4,70,70,0.431,0.328,0.708,78.2,72.7,11.4,6.7,0.655,14.8,52.2,0.397,0.436,24.1,96.9,0.17
Abilene Christian,New Orleans,81,87,1/9/2014,0,FALSE,FALSE,102.5,110.1,78.6,0.397,0.365,0.541,45.7,71.4,8.9,2.9,0.5,12.9,18.4,0.286,0.539,15.5,78.1,0.627
Abilene Christian,Southeastern Louisiana,77,85,1/11/2014,2,FALSE,FALSE,92.8,102.4,66.8,0.507,0.275,0.45,53.6,34.8,8.4,0,0.384,7.7,23.9,0.348,0.5,13.6,89.5,0.308
Abilene Christian,Oral Roberts,59,82,1/16/2014,0,FALSE,TRUE,92.2,128.1,64.5,0.383,0.213,0.531,40,26.3,4.7,7.5,0.457,20.3,24,0.34,0.593,14.6,56,0.333
Abilene Christian,Central Arkansas,73,72,1/18/2014,0,FALSE,TRUE,101.4,100,72,0.453,0.264,0.567,47.4,44,16.7,2.2,0.519,19.1,27.6,0.34,0.571,19.8,67.9,0.143
Abilene Christian,Lamar,57,65,1/23/2014,0,FALSE,TRUE,81.4,92.9,70.2,0.535,0.326,0.529,53.8,33.3,12.9,4.3,0.477,29.3,25.9,0.372,0.49,22.8,84,0.375
Abilene Christian,Sam Houston State,51,70,1/25/2014,0,FALSE,TRUE,83.6,114.8,60.7,0.553,0.342,0.532,41.3,43.8,9.8,3.2,0.474,27.6,22.7,0.395,0.553,15.8,58.3,0.383
Abilene Christian,Stephen F. Austin,48,64,1/30/2014,0,FALSE,FALSE,69.6,92.8,68.8,0.523,0.205,0.437,40.7,35.7,8.7,14.3,0.352,28,23.1,0.386,0.45,19.5,54.5,0.167
Abilene Christian,Northwestern State,66,84,2/1/2014,0,FALSE,FALSE,94.3,120,69.8,0.302,0.434,0.545,43.9,55,11.4,0,0.491,25,30,0.264,0.595,16.6,59.3,0.259
Abilene Christian,Houston Baptist,87,81,2/6/2014,0,FALSE,TRUE,122.5,114.1,70.7,0.864,0.205,0.701,53.2,44.4,11.3,8.1,0.67,18.7,25,0.636,0.65,18.3,74.1,0.32
Abilene Christian,Texas A&M-Corpus Christi,69,71,2/8/2014,0,FALSE,TRUE,107.8,110.9,63.9,0.579,0.526,0.712,35.3,66.7,7.8,0,0.684,25.1,5.9,0.447,0.605,23,64.7,0.442
