team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Abilene Christian,New Hampshire,65,57,2016-11-17,0,False,True,87.8,77.0,74.4,.630,.326,.544,42.6,36.4,10.8,5.6,.533,19.2,3.3,.348,.392,21.1,73.7,.167
Abilene Christian,Charleston Southern,65,66,2016-11-22,0,False,False,100.0,101.5,65.1,.375,.271,.575,43.6,59.3,12.3,10.8,.583,17.7,17.4,.188,.500,18.2,62.5,.179
Abilene Christian,Oklahoma,64,72,2016-11-25,0,False,True,81.0,91.1,79.4,.333,.386,.485,52.0,25.0,16.5,9.8,.482,25.2,25.7,.158,.391,14.7,75.0,.527
Abilene Christian,New Mexico,55,64,2016-11-30,0,False,True,90.2,104.9,61.3,.208,.500,.521,45.5,65.0,4.9,5.4,.500,21.1,20.0,.146,.479,11.9,76.0,.375
Abilene Christian,Charleston Southern,85,82,2016-12-03,1,False,True,114.9,110.8,65.4,.520,.280,.682,52.5,35.7,5.4,15.2,.640,18.6,22.7,.420,.516,11.6,70.3,.250
Abilene Christian,Sacramento State,86,88,2016-12-17,2,False,True,106.2,108.6,65.1,.077,.262,.638,44.3,59.5,9.9,0.0,.631,19.2,7.4,.062,.578,20.2,73.5,.362
Abilene Christian,San Francisco,51,86,2016-12-19,0,False,True,66.2,111.7,77.0,.046,.277,.384,38.7,59.1,10.4,16.7,.377,17.4,10.0,.031,.583,17.2,71.4,.136
Abilene Christian,New Orleans,66,75,2016-12-29,0,False,True,100.0,113.6,66.3,.489,.362,.570,43.5,57.1,9.1,5.4,.511,22.9,29.0,.383,.500,15.3,58.1,.471
Abilene Christian,Southeastern Louisiana,53,75,2016-12-31,0,False,True,82.8,117.2,63.9,.260,.300,.472,32.7,47.6,0.0,9.4,.470,21.2,19.4,.120,.635,19.4,52.4,.173
Abilene Christian,Central Arkansas,76,81,2017-01-05,0,False,False,101.3,108.0,75.0,.333,.433,.547,38.5,65.5,16.0,3.0,.575,10.4,13.5,.117,.571,22.4,71.4,.304
Abilene Christian,Stephen F. Austin,69,60,2017-01-07,0,False,False,98.6,85.7,69.7,.829,.293,.604,46.6,65.0,11.4,14.7,.561,22.2,20.0,.561,.491,25.7,66.7,.109
Abilene Christian,Southeastern Louisiana,50,56,2017-01-12,0,False,False,74.6,83.6,67.4,.610,.415,.473,39.4,53.3,10.4,6.9,.427,26.8,16.7,.366,.431,25.6,58.3,.235
Abilene Christian,Lamar,67,64,2017-01-14,0,False,False,94.4,90.1,70.7,.333,.315,.536,56.7,60.9,11.3,15.6,.481,22.5,34.5,.278,.440,18.2,77.4,.400
Abilene Christian,Nicholls,59,62,2017-01-19,0,False,True,88.1,92.5,67.1,.203,.339,.456,49.2,56.5,6.0,16.0,.458,15.7,26.5,.085,.479,20.6,75.9,.333
Abilene Christian,Incarnate Word,79,82,2017-01-26,0,False,True,109.7,113.9,72.0,.210,.242,.579,42.3,45.5,9.7,8.0,.581,12.9,16.7,.113,.610,18.7,77.3,.420
Abilene Christian,Texas A&M-CC,60,72,2017-01-28,0,False,True,95.2,114.3,63.1,.638,.404,.490,46.3,61.1,15.9,3.0,.447,13.0,27.6,.383,.580,18.2,68.0,.280
Abilene Christian,New Orleans,70,69,2017-02-01,1,False,False,102.9,101.5,60.3,.265,.490,.634,41.2,61.5,11.8,2.6,.643,23.7,26.9,.143,.560,24.8,56.0,.260
Abilene Christian,Sam Houston State,71,64,2017-02-04,0,False,False,97.3,87.7,72.8,.762,.524,.621,54.7,47.4,8.2,14.7,.524,24.3,22.7,.643,.472,20.9,77.4,.264
Air Force,Jacksonville,86,68,2016-11-14,0,False,False,126.5,100.0,68.4,.566,.321,.639,60.4,69.2,5.9,3.8,.585,13.1,33.3,.453,.552,18.4,88.5,.313
