Game_ID,Away_Abbrv,Home_Abbrv,Away_Score,Home_Score,Away_Rank,Home_Rank,Away_Rec,Home_Rec,Away_1st,Away_2nd,Home_1st,Home_2nd,Officials,Attendance,Game_Year,Game_Date,Game_Tipoff,Game_Location,Game_Away,Game_Home,Away_OT,Home_OT,Tournament,Round,Away_Seed,Home_Seed,year
400499627,NAVY,COLG,41,63,,,"(7-10, 2-4 Patriot)","(7-10, 1-5 Patriot)",15,26,33,30,PLAYERS,598,2014,18-Jan,2:00 PM ET,"Cotterell Court, Hamilton, New York",Navy,Colgate,0,0,,,,,2014
400498575,WIN,DAY,47,81,,,"(6-6, 1-5 away)","(11-3, 8-1 home)",28,19,41,40,"Lamar Simpson, Roger Ayers, Joe Lindsay","12,041",2014,1-Jan,2:00 PM ET,"University of Dayton Arena, Dayton, Ohio",Winthrop,Dayton,0,0,,,,,2014
400499374,UWS,FAU,47,81,,,,"(4-10, 4-2 home)",24,23,41,40,"Joe DeRosa, Ray Acosta, Jacyn Goble",895,2014,1-Jan,2:00 PM ET,"FAU Arena, Boca Raton, Florida",Warner,Florida Atl,0,0,,,,,2014
400504258,COFC,DAV,76,64,,,"(7-7, 3-1 away)","(4-10, 1-3 home)",33,43,35,29,"Brent Hampton, Ted Valentine, Gary Maxwell","3,816",2014,1-Jan,2:00 PM ET,"John M. Belk Arena, Davidson, North Carolina",Charleston,Davidson,0,0,,,,,2014
400498576,LIB,DEL,64,77,,,"(6-8, 0-6 away)","(7-7, 2-1 home)",33,31,25,52,"Sean Hull, Matt Oblas, Jeff Nichols","2,058",2014,1-Jan,3:00 PM ET,"Bob Carpenter Center, Newark, Delaware",Liberty,Delaware,0,0,,,,,2014
400505542,UNLV,FRES,75,62,,,"(10-4, 1-0 MW)","(7-7, 0-1 MW)",34,41,31,31,"Michael Irving, Verne Harris, Mike Scyphers","5,968",2014,1-Jan,3:00 PM ET,"Save Mart Center, Fresno, California",UNLV,Fresno State,0,0,,,,,2014
400500052,L-IL,INST,58,70,,,"(5-8, 0-1 MVC)","(10-3, 1-0 MVC)",32,26,36,34,"Kelly Self, Tom Eades, Bo Boroski","5,266",2014,1-Jan,3:05 PM ET,"Hulman Center, Terre Haute, Indiana",Loyola (IL),Indiana State,0,0,,,,,2014
400502767,BC,HARV,58,73,,,"(4-10, 0-1 ACC)","(12-1, 5-0 home)",25,33,39,34,"Tim Kelly, John Gaffney, Clarence Armstrong Jr.","2,195",2014,1-Jan,4:00 PM ET,"Lavietes Pavilion, Cambridge, Massachusetts",Boston College,Harvard,0,0,,,,,2014
400505539,WCK,WYO,52,69,,,,"(9-4, 8-1 home)",22,30,34,35,"Duane Allen, Shawn Lehigh, Brent Meaux","4,262",2014,1-Jan,4:00 PM ET,"Arena-Auditorium, Laramie, Wyoming",Western St.,Wyoming,0,0,,,,,2014
400499128,LIP,FGCU,62,75,,,"(5-8, 0-2 A-Sun)","(8-7, 2-0 A-Sun)",30,32,39,36,"Billy Dunlap, Lee Cassell, Pat Adams","3,368",2014,1-Jan,5:05 PM ET,"Alico Arena, Fort Myers, Florida",Lipscomb,FGCU,0,0,,,,,2014
