Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP
Abilene Christian,0.179,0.302,0.357,0.378,0.370,0.211,0.670,0.176,0.179
Air Force,0.159,0.251,0.332,0.354,0.366,0.274,0.687,0.167,0.173
Akron,0.173,0.287,0.419,0.349,0.330,0.299,0.709,0.159,0.160
Alab A&M,0.231,0.292,0.281,0.291,0.332,0.340,0.650,0.184,0.154
Alabama,0.237,0.279,0.296,0.322,0.326,0.278,0.703,0.162,0.162
Alabama St,0.190,0.253,0.242,0.354,0.336,0.339,0.726,0.166,0.166
Albany,0.229,0.218,0.285,0.358,0.362,0.313,0.758,0.162,0.177
Alcorn State,0.223,0.281,0.230,0.284,0.382,0.280,0.646,0.149,0.158
American,0.185,0.233,0.330,0.373,0.343,0.190,0.703,0.176,0.189
App State,0.207,0.271,0.303,0.316,0.322,0.289,0.726,0.176,0.150
AR Lit Rock,0.211,0.286,0.302,0.340,0.363,0.270,0.716,0.134,0.173
Arizona,0.240,0.259,0.199,0.360,0.335,0.340,0.814,0.142,0.186
Arizona St,0.217,0.242,0.294,0.350,0.362,0.290,0.776,0.179,0.170
Ark Pine Bl,0.208,0.311,0.319,0.332,0.369,0.278,0.619,0.209,0.215
Arkansas,0.213,0.266,0.256,0.349,0.352,0.345,0.681,0.142,0.191
Arkansas St,0.202,0.255,0.264,0.320,0.331,0.275,0.707,0.172,0.150
Army,0.180,0.284,0.309,0.322,0.357,0.269,0.704,0.166,0.163
Auburn,0.257,0.284,0.323,0.350,0.333,0.247,0.673,0.165,0.183
Austin Peay,0.236,0.266,0.234,0.300,0.386,0.305,0.724,0.177,0.178
Ball State,0.202,0.294,0.360,0.336,0.357,0.280,0.743,0.187,0.161
Baylor,0.206,0.232,0.306,0.382,0.297,0.407,0.706,0.164,0.165
Belmont,0.165,0.208,0.400,0.377,0.343,0.265,0.714,0.179,0.160
Beth-Cook,0.245,0.313,0.256,0.291,0.331,0.320,0.682,0.191,0.177
Binghamton,0.228,0.240,0.268,0.306,0.375,0.237,0.691,0.190,0.175
Boise State,0.181,0.228,0.373,0.389,0.312,0.258,0.756,0.142,0.172
Boston Col,0.196,0.287,0.295,0.324,0.335,0.240,0.701,0.166,0.164
Boston U,0.229,0.248,0.343,0.369,0.373,0.257,0.737,0.171,0.143
Bowling Grn,0.191,0.233,0.305,0.338,0.326,0.298,0.726,0.157,0.168
Bradley,0.230,0.306,0.291,0.301,0.369,0.303,0.730,0.173,0.191
Brown,0.250,0.267,0.248,0.311,0.347,0.278,0.715,0.188,0.141
Bryant,0.201,0.262,0.329,0.346,0.315,0.272,0.689,0.159,0.142
Bucknell,0.221,0.283,0.293,0.381,0.366,0.285,0.760,0.149,0.129
Buffalo,0.239,0.245,0.242,0.341,0.330,0.322,0.720,0.141,0.170
Butler,0.224,0.237,0.246,0.356,0.307,0.312,0.770,0.144,0.172
BYU,0.234,0.278,0.308,0.390,0.331,0.313,0.736,0.147,0.160
Cal Poly,0.193,0.229,0.288,0.316,0.356,0.300,0.733,0.124,0.149
Cal St Nrdge,0.258,0.261,0.154,0.330,0.366,0.255,0.718,0.171,0.144
California,0.168,0.286,0.253,0.359,0.336,0.237,0.769,0.146,0.127
Campbell,0.183,0.296,0.391,0.360,0.347,0.266,0.716,0.175,0.166
Canisius,0.198,0.278,0.298,0.318,0.322,0.322,0.701,0.155,0.184
Central Ark,0.214,0.299,0.310,0.353,0.376,0.254,0.646,0.226,0.156
Central Conn,0.185,0.186,0.239,0.322,0.345,0.292,0.689,0.183,0.135
Central FL,0.187,0.209,0.302,0.345,0.356,0.275,0.652,0.170,0.131
Central Mich,0.196,0.254,0.393,0.369,0.344,0.264,0.705,0.139,0.177
Charl South,0.202,0.233,0.389,0.337,0.367,0.316,0.734,0.145,0.165
Charlotte,0.188,0.240,0.255,0.376,0.365,0.327,0.711,0.166,0.158
Chattanooga,0.230,0.303,0.281,0.344,0.350,0.316,0.718,0.165,0.161
Chicago St,0.180,0.348,0.330,0.302,0.381,0.317,0.682,0.198,0.191
Cincinnati,0.201,0.194,0.237,0.329,0.319,0.359,0.703,0.176,0.168
Citadel,0.220,0.224,0.326,0.402,0.351,0.279,0.663,0.191,0.134
Clemson,0.203,0.232,0.264,0.299,0.328,0.331,0.711,0.156,0.152
Cleveland St,0.171,0.298,0.328,0.379,0.362,0.312,0.728,0.163,0.183
Coastal Car,0.215,0.254,0.285,0.359,0.338,0.330,0.740,0.148,0.147
Col Charlestn,0.189,0.327,0.306,0.343,0.358,0.258,0.696,0.168,0.157
Colgate,0.146,0.259,0.349,0.395,0.378,0.217,0.740,0.169,0.144
Colorado,0.231,0.248,0.229,0.335,0.353,0.328,0.743,0.169,0.147
Colorado St,0.221,0.242,0.297,0.348,0.362,0.322,0.775,0.135,0.159
Columbia,0.162,0.277,0.401,0.359,0.331,0.308,0.728,0.172,0.145
Connecticut,0.186,0.239,0.302,0.355,0.332,0.281,0.711,0.161,0.152
Coppin State,0.183,0.295,0.397,0.353,0.384,0.232,0.637,0.162,0.164
Cornell,0.248,0.288,0.284,0.303,0.333,0.210,0.728,0.168,0.166
Creighton,0.210,0.243,0.354,0.345,0.380,0.283,0.736,0.160,0.148
CS Bakersfld,0.229,0.329,0.261,0.320,0.366,0.324,0.755,0.170,0.167
CS Fullerton,0.216,0.294,0.254,0.318,0.387,0.265,0.753,0.167,0.146
Dartmouth,0.190,0.289,0.283,0.346,0.354,0.300,0.733,0.175,0.186
Davidson,0.152,0.254,0.405,0.387,0.300,0.282,0.706,0.123,0.146
Dayton,0.238,0.219,0.294,0.357,0.324,0.204,0.741,0.161,0.184
Delaware,0.217,0.248,0.302,0.345,0.370,0.260,0.700,0.159,0.132
Delaware St,0.189,0.264,0.336,0.350,0.335,0.290,0.703,0.168,0.139
Denver,0.175,0.340,0.360,0.380,0.371,0.188,0.713,0.176,0.181
DePaul,0.206,0.330,0.335,0.352,0.312,0.256,0.664,0.174,0.160
Detroit,0.184,0.319,0.297,0.378,0.337,0.270,0.722,0.168,0.185
Drake,0.201,0.227,0.329,0.406,0.385,0.206,0.696,0.202,0.146
Drexel,0.214,0.257,0.299,0.330,0.351,0.250,0.705,0.148,0.160
Duke,0.197,0.182,0.275,0.387,0.314,0.344,0.719,0.139,0.160
Duquesne,0.167,0.252,0.327,0.362,0.385,0.293,0.687,0.157,0.135
E Carolina,0.174,0.246,0.349,0.356,0.316,0.260,0.669,0.156,0.163
E Illinois,0.176,0.231,0.346,0.374,0.344,0.212,0.674,0.170,0.160
E Kentucky,0.189,0.230,0.381,0.351,0.392,0.197,0.659,0.163,0.232
E Michigan,0.241,0.290,0.291,0.314,0.331,0.278,0.685,0.153,0.182
E Tenn St,0.225,0.288,0.384,0.367,0.358,0.280,0.690,0.162,0.184
E Washingtn,0.186,0.259,0.376,0.394,0.387,0.271,0.709,0.139,0.155
Elon,0.213,0.296,0.307,0.345,0.350,0.255,0.696,0.166,0.183
Evansville,0.241,0.226,0.185,0.353,0.355,0.224,0.740,0.173,0.173
F Dickinson,0.202,0.334,0.312,0.321,0.347,0.249,0.602,0.162,0.194
Fairfield,0.227,0.301,0.322,0.322,0.343,0.255,0.682,0.175,0.156
Fla Atlantic,0.164,0.270,0.347,0.347,0.298,0.235,0.695,0.172,0.144
Fla Gulf Cst,0.186,0.254,0.262,0.339,0.296,0.322,0.709,0.149,0.146
Florida,0.167,0.261,0.311,0.323,0.328,0.305,0.733,0.168,0.189
Florida A&M,0.229,0.252,0.222,0.283,0.351,0.223,0.659,0.191,0.155
Florida Intl,0.200,0.262,0.222,0.313,0.337,0.262,0.702,0.197,0.164
Florida St,0.238,0.269,0.201,0.313,0.325,0.296,0.703,0.197,0.161
Fordham,0.204,0.293,0.275,0.298,0.341,0.322,0.733,0.188,0.163
Fresno St,0.222,0.303,0.259,0.313,0.348,0.234,0.690,0.152,0.173
Furman,0.231,0.267,0.307,0.328,0.360,0.273,0.693,0.183,0.141
GA Southern,0.202,0.229,0.330,0.314,0.312,0.307,0.688,0.155,0.186
