Name,TOFP,TOP,POSS,REBD,FTD,Three_D,REB,REBO,Three_O,FTO
Wash State,0.122396,0.152479,70.1254,0.72182,0.257892,0.374088,0.483256,0.239712,6.90323,22.4943
Montana St,0.150057,0.177914,67.5578,0.736211,0.314339,0.393805,0.490547,0.27707,8.06897,16.9459
Toledo,0.139084,0.15664,69.1985,0.716364,0.23078,0.317073,0.528534,0.302302,5.90909,24.6108
Indiana,0.136753,0.14553,68.9037,0.708676,0.244578,0.324503,0.523587,0.328558,9.38235,19.9767
Brown,0.141002,0.188044,68.8095,0.71488,0.267022,0.347741,0.502461,0.278204,5.37931,23.6034
Columbia,0.14473,0.172163,61.7542,0.727506,0.277222,0.3309,0.512748,0.307692,8.44444,16.5531
UC Irvine,0.146535,0.157065,65.5566,0.698578,0.260368,0.335922,0.506979,0.287047,6.3125,17.1607
Furman,0.141074,0.183014,64.8278,0.692719,0.267344,0.360406,0.488569,0.272627,6.41935,22.3421
Utah State,0.142076,0.146861,65.1154,0.676877,0.220131,0.299353,0.455911,0.198376,7.53333,19.0943
UAB,0.166947,0.170721,69.2379,0.692308,0.242505,0.319249,0.508603,0.3243,5.6,21.2931
Michigan St,0.143953,0.148231,66.4571,0.764054,0.283754,0.314607,0.539143,0.324729,7.53846,17.4009
GA Tech,0.159398,0.159914,66.7198,0.771084,0.243708,0.318519,0.552558,0.370048,4.22581,17.5505
Tulane,0.176804,0.168556,66.4371,0.726136,0.252897,0.336957,0.506634,0.307937,6.3,18.5138
BYU,0.159866,0.146581,73.258,0.735695,0.277643,0.330645,0.528974,0.312801,8.42424,26.2667
Kent State,0.155368,0.149438,64.564,0.700855,0.283646,0.320896,0.505367,0.32757,7.26471,20.2262
Xavier,0.164354,0.158057,68.0834,0.746599,0.240674,0.345238,0.528854,0.291235,6.32432,22.4685
E Michigan,0.182137,0.152916,69.2315,0.685404,0.29004,0.331279,0.483943,0.27833,6.6129,23.7166
NC Central,0.17318,0.171849,62.55,0.71831,0.285982,0.291016,0.514466,0.28786,6.4,20.0373
Charlotte,0.158459,0.166252,70.6715,0.71065,0.23983,0.364568,0.512527,0.326978,6.28125,19.6773
IL-Chicago,0.156716,0.149167,66.8156,0.725934,0.275199,0.402863,0.492115,0.271154,5.875,24.0868
Canisius,0.184396,0.154807,66.5951,0.701508,0.277796,0.322222,0.504139,0.321698,6.51515,19.521
Wake Forest,0.150066,0.165407,70.8297,0.750722,0.25539,0.337985,0.521096,0.29805,6.4375,21.1334
S Dakota St,0.156744,0.148109,68.1568,0.731481,0.290646,0.346903,0.510889,0.274627,8.09091,23.164
Seattle,0.150161,0.191537,63.7668,0.733679,0.246786,0.332842,0.521418,0.280559,6.65625,18.5245
Villanova,0.186569,0.138765,67.4681,0.73297,0.219256,0.30538,0.513716,0.314563,9.05556,24.5384
