Name,FTO,FTD,Three_O,Three_D,REBO,REBD,REB,TOP,TOFP,POSS
Brown,28.8873,0.25321,6.8125,0.361635,0.243697,0.68319,0.477799,0.185397,0.18709,73.9945
New Mexico,28.5009,0.25879,4.27778,0.390995,0.263862,0.724613,0.511241,0.168248,0.17864,72.9021
Valparaiso,27.2242,0.238183,5.76471,0.330688,0.327032,0.75043,0.544118,0.175823,0.161419,73.464
Colorado St,26.4096,0.245311,6.25,0.303279,0.32197,0.72242,0.518828,0.155127,0.156036,70.7602
St Bonavent,26.0873,0.277496,7.0,0.38992,0.340996,0.708487,0.520799,0.149588,0.173348,74.8618
Georgetown,26.0002,0.271303,7.05556,0.322404,0.282569,0.70347,0.506891,0.16949,0.164366,73.7174
Florida,25.7447,0.224493,7.11765,0.328904,0.322993,0.712355,0.504634,0.137422,0.205603,72.2022
Tennessee,25.5553,0.29597,6.125,0.380623,0.32833,0.708738,0.507385,0.164839,0.183004,73.6148
Wyoming,25.5307,0.285973,8.9375,0.309456,0.215686,0.754153,0.489311,0.167122,0.156114,78.8266
Evansville,25.2708,0.270129,3.70588,0.318681,0.246154,0.731532,0.5,0.168297,0.177599,70.0647
SIU Edward,25.2509,0.283788,4.41176,0.310458,0.286213,0.751445,0.50659,0.180558,0.151257,74.0801
Cal St Nrdge,25.186,0.292169,4.46667,0.372549,0.257511,0.680639,0.484991,0.174364,0.149909,76.4975
Mississippi,25.1778,0.271346,7.76471,0.375622,0.320856,0.719064,0.521236,0.181233,0.156126,76.3978
Arkansas,25.1708,0.288015,6.35294,0.332468,0.320826,0.7,0.514331,0.14352,0.157099,74.7831
S Dakota St,25.1136,0.202184,9.05556,0.372881,0.236332,0.720268,0.480571,0.173001,0.151811,71.2319
Nevada,24.9476,0.20218,9.16667,0.287958,0.296296,0.746565,0.524506,0.14345,0.126278,73.4875
Duke,24.6879,0.202104,7.94444,0.295597,0.323322,0.753994,0.540373,0.143001,0.176332,73.3604
Samford,24.6463,0.201502,7.52941,0.32783,0.264368,0.70568,0.497529,0.161143,0.163053,72.5559
N Mex State,24.6324,0.255262,7.23529,0.319865,0.365019,0.719858,0.532773,0.173938,0.177574,70.2088
Chattanooga,24.5464,0.243463,6.3125,0.337302,0.295503,0.674468,0.486768,0.16635,0.191013,70.275
N Illinois,24.4019,0.270247,4.07143,0.328173,0.32377,0.727079,0.523633,0.168745,0.192668,74.6429
Arizona,24.3954,0.205145,5.94444,0.29443,0.316733,0.76129,0.556373,0.158703,0.166411,69.2299
Oklahoma St,24.391,0.34002,8.875,0.352273,0.367568,0.685328,0.520236,0.160432,0.197522,78.4102
Georgia,24.2956,0.252132,4.875,0.313043,0.301181,0.774648,0.545222,0.171718,0.153438,73.0586
Col Charlestn,24.2935,0.216678,6.22222,0.284058,0.245347,0.721053,0.481804,0.143724,0.183513,66.5472
Rice,24.0079,0.284658,9.1875,0.365942,0.294479,0.755769,0.534122,0.175304,0.162554,75.4961
La Salle,23.9731,0.256355,9.13333,0.40367,0.252796,0.736264,0.494516,0.147926,0.156935,73.1375
BYU,23.9565,0.220095,6.89474,0.310484,0.270607,0.780749,0.537656,0.152244,0.138087,78.6513
Pittsburgh,23.7746,0.203621,8.27778,0.335714,0.285968,0.741573,0.521138,0.150001,0.126245,72.9069
TX Southern,23.7735,0.248335,6.29412,0.35873,0.322526,0.658349,0.484401,0.149689,0.147268,71.0132
Neb Omaha,23.7531,0.242082,8.44444,0.373576,0.271293,0.70418,0.483613,0.164701,0.164716,78.8201
Towson,23.7232,0.310289,4.0,0.346154,0.360544,0.742105,0.540984,0.159151,0.173563,70.2549
UAB,23.6111,0.218773,5.29412,0.345088,0.286,0.72758,0.525353,0.188003,0.166065,72.0
Maryland,23.6091,0.210306,8.17647,0.325153,0.290503,0.724077,0.512799,0.170723,0.16398,70.7603
Xavier,23.6027,0.251468,7.05882,0.326975,0.31391,0.797373,0.549874,0.152826,0.175425,71.7765
NW State,23.4809,0.273352,5.58333,0.37751,0.288372,0.704082,0.491131,0.18468,0.164787,76.3031
S Utah,23.4611,0.360615,8.9375,0.389408,0.262069,0.72428,0.475993,0.153672,0.149828,76.7227
Wichita St,23.4349,0.255411,8.77778,0.338164,0.325301,0.795494,0.553369,0.142213,0.19017,73.4896
Lipscomb,23.4167,0.323817,9.82353,0.335196,0.244165,0.698176,0.488335,0.191242,0.160253,78.1243
High Point,23.3975,0.233761,5.93333,0.388268,0.260684,0.729437,0.49554,0.184024,0.186143,68.6683
Toledo,23.3844,0.23472,7.625,0.322222,0.278505,0.77881,0.530577,0.16304,0.127825,76.1727
Central FL,23.3442,0.170563,6.23529,0.281532,0.333333,0.784773,0.578665,0.19539,0.123771,69.2956
N Carolina,23.34,0.214517,7.38889,0.323113,0.420063,0.756798,0.584278,0.144623,0.179402,78.0729
Geo Wshgtn,23.3101,0.198074,7.83333,0.392749,0.335605,0.753472,0.544948,0.182744,0.139089,68.4014
Air Force,23.3044,0.219608,8.3125,0.360849,0.257937,0.784553,0.525783,0.160994,0.154449,71.0703
Campbell,23.3038,0.309459,7.13333,0.324503,0.218684,0.723447,0.475966,0.165137,0.153915,72.6633
USC,23.2812,0.189467,7.47368,0.34375,0.311321,0.708767,0.513947,0.133721,0.155363,73.0204
W Virginia,23.2724,0.246283,7.47059,0.321981,0.39661,0.68932,0.521138,0.122089,0.283328,76.3338
Kentucky,23.237,0.233737,7.41176,0.307263,0.362153,0.731872,0.537528,0.116956,0.183793,78.9816
Minnesota,23.1976,0.211933,6.21053,0.283544,0.258621,0.746055,0.504698,0.148026,0.16567,74.8717
IL-Chicago,23.1454,0.237326,7.125,0.355556,0.332031,0.703704,0.525438,0.192188,0.162077,75.8789
Oakland,23.0983,0.212264,7.4375,0.313726,0.26975,0.700516,0.500409,0.161881,0.177959,76.575
Central Mich,23.089,0.235586,12.4667,0.324859,0.252747,0.651625,0.459684,0.123096,0.143685,78.5367
CS Fullerton,23.0326,0.307583,6.06667,0.375817,0.251073,0.741201,0.501876,0.185244,0.159692,76.4133
Geo Mason,23.0265,0.201655,5.70588,0.30491,0.297794,0.757167,0.539379,0.158653,0.139551,72.0397
E Michigan,23.0124,0.335933,6.0,0.327526,0.327273,0.674938,0.492647,0.152141,0.199205,74.876
DePaul,22.9998,0.260823,5.11111,0.341523,0.299652,0.702602,0.497573,0.1729,0.182715,70.7736
Loyola-MD,22.918,0.249666,5.46667,0.332016,0.307377,0.70283,0.498035,0.176435,0.184277,70.105
Auburn,22.9047,0.259219,8.82353,0.327711,0.272269,0.686441,0.478723,0.154441,0.183172,78.0728
Florida St,22.895,0.255915,7.11111,0.319095,0.333948,0.707763,0.527356,0.147276,0.1751,75.9507
Indiana,22.8331,0.23561,9.11111,0.310056,0.380863,0.749616,0.575501,0.178799,0.142446,73.2368
St Peters,22.7069,0.226173,7.0,0.314706,0.232283,0.778243,0.49359,0.156746,0.189315,67.9859
Marshall,22.7031,0.234914,10.0556,0.361179,0.227848,0.671756,0.462025,0.147945,0.150632,80.9972
South Dakota,22.5823,0.223446,6.73684,0.369565,0.267669,0.737834,0.497171,0.143684,0.168385,73.4158
Butler,22.5035,0.262615,7.88889,0.300283,0.263366,0.742056,0.50662,0.135052,0.188099,69.125
Colorado,22.4749,0.247413,7.11765,0.334239,0.316814,0.748288,0.526941,0.158783,0.138346,71.714
LA Lafayette,22.4515,0.244398,6.66667,0.361314,0.33996,0.75,0.535615,0.144852,0.196965,75.125
Boise State,22.433,0.308644,7.8,0.310044,0.286307,0.758691,0.517891,0.160025,0.155999,71.6208
San Diego,22.3647,0.282512,8.64706,0.330409,0.197343,0.748634,0.482112,0.163139,0.14088,69.9632
E Tenn St,22.3541,0.256311,8.0,0.342029,0.275934,0.749077,0.526173,0.177036,0.209709,74.6508
Monmouth,22.2942,0.256686,9.05556,0.369369,0.269168,0.705128,0.485047,0.143132,0.173884,77.0007
Stanford,22.275,0.260329,4.70588,0.375358,0.277264,0.766038,0.519247,0.164641,0.173055,71.5654
Missouri,22.2724,0.267061,5.9375,0.306818,0.280672,0.76,0.505082,0.145005,0.173329,75.7664
Incarnate Word,22.269,0.316195,6.69231,0.32287,0.210177,0.702381,0.45221,0.155603,0.146207,77.7212
Grand Canyon,22.2423,0.229936,6.22222,0.344214,0.266886,0.708819,0.484067,0.156707,0.179065,72.1847
UNLV,22.12,0.208909,7.05556,0.354756,0.27057,0.748744,0.508413,0.160655,0.148738,73.8396
Wright State,22.0537,0.250564,8.23529,0.350685,0.294964,0.740472,0.510906,0.190458,0.173801,72.8169
Vanderbilt,22.0411,0.226775,9.82353,0.365497,0.261036,0.745421,0.510693,0.165513,0.141544,69.1221
Southern,22.0061,0.293172,5.33333,0.317406,0.327083,0.70334,0.521114,0.186325,0.145789,73.6158
Baylor,22.006,0.189728,6.3125,0.317221,0.36971,0.722326,0.5495,0.170299,0.163893,68.1633
E Kentucky,21.9882,0.30595,7.38889,0.386598,0.243421,0.710572,0.475138,0.176698,0.163039,73.5243
NC State,21.971,0.224347,7.05556,0.327751,0.272401,0.713855,0.51263,0.163114,0.141895,76.3632
TN State,21.9479,0.316842,5.25,0.324468,0.330171,0.727106,0.52226,0.182275,0.186559,71.7609
Hawaii,21.9374,0.24746,6.46667,0.357895,0.25486,0.69555,0.479592,0.188965,0.18203,70.8075
Villanova,21.9333,0.153173,9.44444,0.285372,0.279826,0.781915,0.541156,0.150272,0.168787,67.8826
Murray St,21.9079,0.301178,9.47059,0.352601,0.298126,0.710018,0.49373,0.144956,0.15803,73.3015
Wake Forest,21.8832,0.246592,8.41177,0.341026,0.293785,0.738516,0.524441,0.159404,0.151694,73.1154
Clemson,21.8647,0.154761,7.70588,0.340483,0.312274,0.691882,0.492155,0.134462,0.191992,70.7559
VA Tech,21.8599,0.199192,8.58823,0.314516,0.242202,0.742215,0.504139,0.147463,0.162592,74.8081
Siena,21.6449,0.27134,4.5,0.313846,0.32459,0.705387,0.508705,0.159909,0.156308,72.3806
W Kentucky,21.6391,0.186857,6.47368,0.361556,0.253247,0.735537,0.490076,0.164284,0.150975,69.3191
Memphis,21.6314,0.222163,5.94444,0.319712,0.316225,0.709003,0.515742,0.141881,0.171251,73.9667
S Illinois,21.624,0.252191,5.72222,0.398305,0.28877,0.702703,0.491057,0.160058,0.182138,70.1382
TX Christian,21.6055,0.21153,7.0625,0.350993,0.347305,0.717472,0.534759,0.163035,0.181311,71.1625
Weber State,21.585,0.20629,8.69231,0.374384,0.196429,0.718009,0.469838,0.156517,0.150029,68.7798
Northeastrn,21.5772,0.210754,8.61111,0.343164,0.238189,0.747368,0.516373,0.17746,0.162501,70.2903
Tulsa,21.5441,0.214865,7.125,0.333333,0.284783,0.737143,0.52459,0.202602,0.161346,70.7852
Howard,21.5406,0.247764,4.86667,0.383954,0.267606,0.669492,0.464855,0.185629,0.158434,68.7075
Kansas St,21.5201,0.205993,7.76471,0.362229,0.298947,0.706093,0.513753,0.167555,0.202996,68.8824
GA Tech,21.5186,0.201243,4.17647,0.344262,0.303309,0.678808,0.504762,0.176615,0.158876,71.8941
Louisville,21.4899,0.272109,6.61111,0.29003,0.368259,0.732704,0.539636,0.138746,0.190545,71.6097
WI-Grn Bay,21.4841,0.219676,7.0,0.368984,0.257246,0.743219,0.496308,0.159358,0.166805,80.0592
Lamar,21.463,0.25976,7.21429,0.344681,0.27521,0.722348,0.494048,0.163285,0.187167,72.883
Illinois,21.4501,0.225242,7.29412,0.351206,0.277247,0.768116,0.528139,0.170666,0.156562,72.1235
Pacific,21.4293,0.284122,5.77778,0.34596,0.289355,0.784874,0.526746,0.149081,0.140987,70.516
Manhattan,21.4259,0.36707,7.05556,0.37931,0.323002,0.724958,0.522137,0.203293,0.173231,77.2688
F Dickinson,21.3964,0.30265,7.1875,0.363914,0.224409,0.65587,0.444037,0.159644,0.162731,71.5656
Niagara,21.3798,0.239809,7.77778,0.337766,0.294702,0.698718,0.501089,0.159828,0.125458,74.5771
Miss State,21.3762,0.201541,8.3125,0.308411,0.251004,0.71875,0.495552,0.155119,0.184421,70.7562
