Name,date,ORTG,ORTGlast3,home_ORTG,away_ORTG,ORTGprevSeason,DRTG,DRTGlast3,home_DRTG,away_DRTG,DRTGprevSeason
Colorado,2015-11-13,0.0,0.0,0.0,0.0,1.01244,0.0,0.0,0.0,0.0,1.00035
Iowa State,2015-11-13,0.0,0.0,0.0,0.0,1.09286,0.0,0.0,0.0,0.0,0.969321
Florida Atlantic,2015-11-13,0.0,0.0,0.0,0.0,0.94375,0.0,0.0,0.0,0.0,1.03046
Michigan State,2015-11-13,0.0,0.0,0.0,0.0,1.0699,0.0,0.0,0.0,0.0,0.957626
Elon,2015-11-13,0.0,0.0,0.0,0.0,0.960068,0.0,0.0,0.0,0.0,1.00576
Charlotte,2015-11-13,0.0,0.0,0.0,0.0,1.04445,0.0,0.0,0.0,0.0,1.02455
Drexel,2015-11-13,0.0,0.0,0.0,0.0,0.943191,0.0,0.0,0.0,0.0,1.01984
Saint Joseph's,2015-11-13,0.0,0.0,0.0,0.0,0.922964,0.0,0.0,0.0,0.0,0.96496
James Madison,2015-11-13,0.0,0.0,0.0,0.0,1.0193299999999998,0.0,0.0,0.0,0.0,1.03635
Richmond,2015-11-13,0.0,0.0,0.0,0.0,1.0256,0.0,0.0,0.0,0.0,0.949773
Dartmouth,2015-11-13,0.0,0.0,0.0,0.0,0.980916,0.0,0.0,0.0,0.0,0.977709
Seton Hall,2015-11-13,0.0,0.0,0.0,0.0,1.00254,0.0,0.0,0.0,0.0,0.99686
Temple,2015-11-13,0.0,0.0,0.0,0.0,0.982694,0.0,0.0,0.0,0.0,0.912905
North Carolina,2015-11-13,0.0,0.0,0.0,0.0,1.08585,0.0,0.0,0.0,0.0,0.961928
Pittsburgh,2015-11-13,0.0,0.0,0.0,0.0,1.04599,0.0,0.0,0.0,0.0,1.02886
Gonzaga,2015-11-13,0.0,0.0,0.0,0.0,1.16038,0.0,0.0,0.0,0.0,0.92186
Cornell,2015-11-13,0.0,0.0,0.0,0.0,0.915929,0.0,0.0,0.0,0.0,0.940895
