,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1,Name,date,ORTG,ORTGlast3,home_ORTG,away_ORTG,ORTGprevSeason,DRTG,DRTGlast3,home_DRTG,away_DRTG,DRTGprevSeason
0,0,0,18061,18061,18061,18061,18061,AR Lit Rock,01/02/2017,1.00398,0.931381,1.01744,0.994966,1.05808,0.986238,1.09132,0.923066,1.02853,0.924224
1,1,1,19835,19835,19835,19835,19835,AR Lit Rock,01/07/2017,0.99536,1.00366,0.995861,0.994966,1.05808,0.99757,1.18254,0.958234,1.02853,0.924224
2,2,2,20518,20518,20518,20518,20518,AR Lit Rock,01/09/2017,1.00874,1.05397,0.995861,1.01774,1.05808,1.00254,1.07943,0.958234,1.03354,0.924224
3,3,3,22276,22276,22276,22276,22276,AR Lit Rock,01/14/2017,1.00506,1.00991,0.995861,1.01083,1.05808,1.00216,1.07336,0.958234,1.02969,0.924224
4,4,4,23335,23335,23335,23335,23335,AR Lit Rock,01/17/2017,1.00355,1.04011,0.993749,1.01083,1.05808,1.00536,1.04011,0.972561,1.02969,0.924224
5,5,5,2805,2805,2805,2805,2805,AR Lit Rock,11/18/2016,0.0,0.0,0.0,0.0,1.05808,0.0,0.0,0.0,0.0,0.924224
6,6,6,3824,3824,3824,3824,3824,AR Lit Rock,11/21/2016,0.839161,0.839161,0.839161,0.0,1.05808,0.956938,0.956938,0.956938,0.0,0.924224
7,7,7,4142,4142,4142,4142,4142,AR Lit Rock,11/22/2016,0.901388,0.901388,0.839161,0.961131,1.05808,0.937444,0.937444,0.956938,0.918728,0.924224
8,8,8,4491,4491,4491,4491,4491,AR Lit Rock,11/23/2016,0.916546,0.916546,0.839161,0.95426,1.05808,0.94549,0.94549,0.956938,0.93991,0.924224
9,9,9,6489,6489,6489,6489,6489,AR Lit Rock,11/29/2016,0.998357,1.0490000000000002,0.839161,1.0490000000000002,1.05808,0.97704,0.983434,0.956938,0.983434,0.924224
10,10,10,7861,7861,7861,7861,7861,AR Lit Rock,12/03/2016,1.01673,1.08774,0.839161,1.05748,1.05808,0.994745,1.0300200000000002,0.956938,1.00342,0.924224
11,11,11,9608,9608,9608,9608,9608,AR Lit Rock,12/08/2016,1.01717,1.10897,0.931072,1.05748,1.05808,0.97575,1.00336,0.916637,1.00342,0.924224
12,12,12,10299,10299,10299,10299,10299,AR Lit Rock,12/10/2016,1.02779,1.06654,0.983689,1.05748,1.05808,0.961155,0.940241,0.8983690000000001,1.00342,0.924224
13,13,13,11695,11695,11695,11695,11695,AR Lit Rock,12/14/2016,1.03103,1.05736,1.00155,1.05748,1.05808,0.952678,0.875229,0.896127,1.00342,0.924224
14,14,14,13457,13457,13457,13457,13457,AR Lit Rock,12/19/2016,1.02835,1.05283,1.00155,1.0477299999999998,1.05808,0.950952,0.896669,0.896127,0.990577,0.924224
15,15,15,14218,14218,14218,14218,14218,AR Lit Rock,12/21/2016,0.992986,0.910398,1.00155,0.987795,1.05808,0.944686,0.905606,0.896127,0.974107,0.924224
16,16,16,17372,17372,17372,17372,17372,AR Lit Rock,12/31/2016,0.997232,0.907094,1.00155,0.994966,1.05808,0.982986,1.06382,0.896127,1.02853,0.924224
17,17,17,19255,19255,19255,19255,19255,Abilene Christian,01/05/2017,0.917039,0.81839,0.998847,0.907833,0.980511,1.03361,1.13612,1.01421,1.03579,1.07045
18,18,18,19950,19950,19950,19950,19950,Abilene Christian,01/07/2017,0.927125,0.948155,1.00678,0.907833,0.980511,1.03849,1.1232,1.0496299999999998,1.03579,1.07045
19,19,19,21701,21701,21701,21701,21701,Abilene Christian,01/12/2017,0.932726,0.949413,1.00137,0.907833,0.980511,1.02283,1.03572,0.987066,1.03579,1.07045
20,20,20,22426,22426,22426,22426,22426,Abilene Christian,01/14/2017,0.917686,0.919649,0.938247,0.907833,0.980511,1.0077,0.929081,0.949073,1.03579,1.07045
21,21,21,23477,23477,23477,23477,23477,Abilene Christian,01/17/2017,0.920012,0.895415,0.940263,0.907833,0.980511,0.999919,0.8665299999999999,0.940263,1.03579,1.07045
22,22,22,2455,2455,2455,2455,2455,Abilene Christian,11/17/2016,0.0,0.0,0.0,0.0,0.980511,0.0,0.0,0.0,0.0,1.07045
23,23,23,4159,4159,4159,4159,4159,Abilene Christian,11/22/2016,0.8733620000000001,0.8733620000000001,0.0,0.8733620000000001,0.980511,0.765872,0.765872,0.0,0.765872,1.07045
