,Name,date,FTO,FTOlast3,FTOprevSeason,FTD,FTDlast3,FTDprevSeason,Three_O,Three_Olast3,Three_OprevSeason,Three_D,Three_Dlast3,Three_DprevSeason,REBO,REBOlast3,REBOprevSeason,REBD,REBDlast3,REBDprevSeason,REB,REBlast3,REBprevSeason,TOP,TOPlast3,TOPprevSeason,TOFP,TOFPlast3,TOFPprevSeason,POSS,POSSlast3,POSSprevSeason
19179,AR Lit Rock,01/05/2013,21.8097,26.6544,22.4709,0.26160700000000003,0.277318,0.3039,5.4,4.33333,5.2333300000000005,0.296417,0.342857,0.336996,0.315686,0.37735799999999997,0.258712,0.674747,0.727273,0.702198,0.48835100000000004,0.527273,0.475663,0.192168,0.166925,0.16188,0.188131,0.169702,0.185401,71.8333,72.5333,67.1979
20934,AR Lit Rock,01/10/2013,21.083000000000002,23.2917,22.4709,0.260651,0.24216700000000002,0.3039,5.5625,5.33333,5.2333300000000005,0.303681,0.338028,0.336996,0.30983299999999997,0.313726,0.258712,0.674374,0.695122,0.702198,0.486831,0.488038,0.475663,0.192352,0.14853,0.16188,0.19053399999999998,0.20393,0.185401,71.4437,70.125,67.1979
21657,AR Lit Rock,01/12/2013,20.3065,14.3051,22.4709,0.25967199999999996,0.214231,0.3039,5.5294099999999995,5.66667,5.2333300000000005,0.304478,0.327869,0.336996,0.308642,0.23595500000000003,0.258712,0.675277,0.666667,0.702198,0.486683,0.45128199999999996,0.475663,0.1882,0.151972,0.16188,0.193127,0.244835,0.185401,70.9713,67.575,67.1979
23370,AR Lit Rock,01/17/2013,20.9606,16.5159,22.4709,0.260835,0.256675,0.3039,5.55556,6.33333,5.2333300000000005,0.31564200000000003,0.43137299999999995,0.336996,0.308348,0.25974,0.258712,0.676573,0.688312,0.702198,0.48878599999999994,0.491525,0.475663,0.191892,0.190381,0.16188,0.196818,0.24362399999999998,0.185401,71.2979,68.6208,67.1979
24073,AR Lit Rock,01/19/2013,20.6514,18.3325,22.4709,0.263935,0.282368,0.3039,5.42105,4.66667,5.2333300000000005,0.327957,0.5,0.336996,0.30225100000000005,0.253012,0.258712,0.679054,0.712329,0.702198,0.484871,0.47191000000000005,0.475663,0.194321,0.205359,0.16188,0.197951,0.239585,0.185401,71.3599,70.9125,67.1979
25822,AR Lit Rock,01/24/2013,20.2826,20.1476,22.4709,0.263882,0.28819,0.3039,5.3,4.0,5.2333300000000005,0.327411,0.45762700000000006,0.336996,0.298462,0.22891599999999998,0.258712,0.678344,0.697674,0.702198,0.48348599999999997,0.46195699999999995,0.475663,0.19331600000000002,0.223728,0.16188,0.199761,0.23806999999999998,0.185401,70.9969,71.1417,67.1979
26485,AR Lit Rock,01/26/2013,21.0411,21.5593,22.4709,0.26437,0.28770500000000004,0.3039,5.19048,3.0,5.2333300000000005,0.336634,0.5,0.336996,0.301915,0.26087,0.258712,0.6819569999999999,0.719512,0.702198,0.48550200000000004,0.463158,0.475663,0.190779,0.18348599999999998,0.16188,0.201087,0.229265,0.185401,70.6101,66.4833,67.1979
28911,AR Lit Rock,02/02/2013,21.0155,23.5415,22.4709,0.26633,0.282686,0.3039,5.22727,4.0,5.2333300000000005,0.334928,0.391304,0.336996,0.299435,0.27907,0.258712,0.675953,0.655556,0.702198,0.484204,0.479592,0.475663,0.191693,0.1732,0.16188,0.200876,0.220848,0.185401,70.5108,65.1333,67.1979
30638,AR Lit Rock,02/07/2013,21.309,28.461,22.4709,0.272571,0.33364,0.3039,5.17391,4.33333,5.2333300000000005,0.33410100000000004,0.4,0.336996,0.30615,0.357143,0.258712,0.678822,0.682353,0.702198,0.48681800000000003,0.5096149999999999,0.475663,0.19053,0.171701,0.16188,0.199706,0.199318,0.185401,70.5967,67.9292,67.1979
33065,AR Lit Rock,02/14/2013,21.3833,23.7982,22.4709,0.273117,0.336027,0.3039,5.20833,5.33333,5.2333300000000005,0.335541,0.326531,0.336996,0.305699,0.333333,0.258712,0.685984,0.715909,0.702198,0.48994099999999996,0.5217390000000001,0.475663,0.190781,0.19079200000000002,0.16188,0.200424,0.195661,0.185401,70.538,70.0333,67.1979
