Name,date,FTO,FTOlast3,FTOprevSeason,FTD,FTDlast3,FTDprevSeason,Three_O,Three_Olast3,Three_OprevSeason,Three_D,Three_Dlast3,Three_DprevSeason,REBO,REBOlast3,REBOprevSeason,REBD,REBDlast3,REBDprevSeason,REB,REBlast3,REBprevSeason,TOP,TOPlast3,TOPprevSeason,TOFP,TOFPlast3,TOFPprevSeason,POSS,POSSlast3,POSSprevSeason
Michigan State,2012-11-09,0.0,0.0,21.5524,0.0,0.0,0.245952,0.0,0.0,5.40541,0.0,0.0,0.29930100000000004,0.0,0.0,0.35480900000000004,0.0,0.0,0.753682,0.0,0.0,0.5594100000000001,0.0,0.0,0.166329,0.0,0.0,0.165656,0.0,0.0,66.5882
Connecticut,2012-11-09,0.0,0.0,19.281,0.0,0.0,0.195206,0.0,0.0,5.44118,0.0,0.0,0.343619,0.0,0.0,0.36239,0.0,0.0,0.674439,0.0,0.0,0.5179010000000001,0.0,0.0,0.156124,0.0,0.0,0.13634100000000002,0.0,0.0,66.3562
Ohio State,2012-11-09,0.0,0.0,22.6485,0.0,0.0,0.204983,0.0,0.0,5.1025599999999995,0.0,0.0,0.325,0.0,0.0,0.349127,0.0,0.0,0.77212,0.0,0.0,0.5542729999999999,0.0,0.0,0.148574,0.0,0.0,0.194717,0.0,0.0,67.9279
Marquette,2012-11-09,0.0,0.0,23.7325,0.0,0.0,0.215408,0.0,0.0,5.74286,0.0,0.0,0.31602399999999997,0.0,0.0,0.321397,0.0,0.0,0.659185,0.0,0.0,0.49921400000000005,0.0,0.0,0.159211,0.0,0.0,0.192572,0.0,0.0,72.1132
Fresno State,2012-11-09,0.0,0.0,21.6554,0.0,0.0,0.308777,0.0,0.0,5.903230000000001,0.0,0.0,0.326996,0.0,0.0,0.287524,0.0,0.0,0.680233,0.0,0.0,0.455143,0.0,0.0,0.138149,0.0,0.0,0.184922,0.0,0.0,66.1387
Texas,2012-11-09,0.0,0.0,25.7101,0.0,0.0,0.287245,0.0,0.0,5.7941199999999995,0.0,0.0,0.347902,0.0,0.0,0.364564,0.0,0.0,0.674419,0.0,0.0,0.519898,0.0,0.0,0.15308,0.0,0.0,0.169296,0.0,0.0,68.7529
Miami (OH),2012-11-09,0.0,0.0,17.2264,0.0,0.0,0.257087,0.0,0.0,7.37931,0.0,0.0,0.349206,0.0,0.0,0.246914,0.0,0.0,0.6869770000000001,0.0,0.0,0.474901,0.0,0.0,0.188041,0.0,0.0,0.159588,0.0,0.0,62.0539
NC State,2012-11-09,0.0,0.0,21.2601,0.0,0.0,0.235719,0.0,0.0,5.35135,0.0,0.0,0.332394,0.0,0.0,0.347976,0.0,0.0,0.7141689999999999,0.0,0.0,0.53013,0.0,0.0,0.158046,0.0,0.0,0.152686,0.0,0.0,69.2834
Georgia State,2012-11-09,0.0,0.0,18.9508,0.0,0.0,0.212977,0.0,0.0,5.23529,0.0,0.0,0.315485,0.0,0.0,0.30442600000000003,0.0,0.0,0.7088949999999999,0.0,0.0,0.506804,0.0,0.0,0.14899300000000001,0.0,0.0,0.192403,0.0,0.0,67.6676
Duke,2012-11-09,0.0,0.0,25.4971,0.0,0.0,0.240155,0.0,0.0,8.058819999999999,0.0,0.0,0.317427,0.0,0.0,0.334257,0.0,0.0,0.687554,0.0,0.0,0.518688,0.0,0.0,0.150069,0.0,0.0,0.15717899999999999,0.0,0.0,69.904
